<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	16.37	16.46	16.20	16.22	35762	17818500	1
2017.06.02	16.27	16.40	16.01	16.23	29865	27924500	1
2017.06.05	16.19	16.59	16.17	16.53	29417	16492100	1
2017.06.06	16.49	16.77	16.48	16.67	24411	15888200	1
2017.06.07	16.74	16.79	16.38	16.47	30849	12360300	1
2017.06.08	16.37	16.43	16.20	16.20	21674	13753000	1
2017.06.09	16.28	16.32	15.72	15.83	31598	19881100	1
2017.06.12	15.79	15.91	15.68	15.81	25626	14437400	1
2017.06.13	15.83	16.10	15.83	16.08	19789	13078100	1
2017.06.14	16.05	16.16	15.74	15.89	29601	25725900	1
2017.06.16	15.93	15.93	15.51	15.54	39699	45422100	1
2017.06.19	15.60	15.73	15.44	15.62	23975	18886900	1
2017.06.20	15.64	15.97	15.57	15.80	33920	22672600	1
2017.06.21	15.81	15.97	15.73	15.85	32052	11812300	1
2017.06.22	15.88	16.02	15.82	15.91	14164	7718100	1
2017.06.23	16.00	16.01	15.83	15.95	13054	4615600	1
2017.06.26	16.08	16.22	16.03	16.11	17780	7484500	1
2017.06.27	16.11	16.19	15.93	16.13	21841	23283300	1
2017.06.28	16.20	16.24	16.00	16.14	16943	8750600	1
2017.06.29	16.14	16.19	15.96	16.10	14436	6238700	1
2017.06.30	16.11	16.25	16.10	16.15	18297	6950500	1
2017.07.03	16.19	16.26	16.05	16.12	12146	5340400	1
2017.07.04	16.04	16.15	16.04	16.09	5736	2678500	1
2017.07.05	16.07	16.21	15.99	16.07	16182	9158400	1
2017.07.06	16.07	16.09	15.63	15.68	21025	19264900	1
2017.07.07	15.76	16.02	15.73	15.89	19532	14316800	1
2017.07.10	15.92	16.21	15.88	16.15	17614	10139600	1
2017.07.11	16.15	16.43	16.07	16.33	13641	10149400	1
2017.07.12	16.41	16.56	16.30	16.45	23332	13149700	1
2017.07.13	16.53	16.55	16.36	16.48	17597	6499700	1
2017.07.14	16.48	16.61	16.46	16.54	14737	5512500	1
2017.07.17	16.58	16.69	16.50	16.62	12950	10140000	1
2017.07.18	16.65	16.65	16.45	16.54	14113	6018300	1
2017.07.19	16.65	16.65	16.46	16.60	15883	10708700	1
2017.07.20	16.55	16.66	16.50	16.56	14956	7840500	1
2017.07.21	16.52	16.63	16.46	16.59	10042	3771200	1
2017.07.24	16.60	16.69	16.55	16.60	8529	4274100	1
2017.07.25	16.65	16.75	16.62	16.65	14552	13661100	1
2017.07.26	16.63	16.71	16.54	16.61	15075	6309800	1
2017.07.27	16.65	17.12	16.65	16.86	28435	19341000	1
2017.07.28	16.72	16.95	16.69	16.85	27731	11934300	1
2017.07.31	16.84	17.08	16.82	16.89	22491	15541400	1
2017.08.01	16.90	17.02	16.84	16.97	16914	8838500	1
2017.08.02	16.91	17.14	16.88	17.11	22842	14949700	1
2017.08.03	17.08	17.11	16.96	16.99	25290	9882500	1
2017.08.04	17.01	17.03	16.85	16.99	21094	8043300	1
2017.08.07	16.98	17.14	16.90	17.07	18983	11320500	1
2017.08.08	17.03	17.25	17.01	17.10	19289	9740800	1
2017.08.09	17.01	17.16	16.95	17.13	11534	4728400	1
2017.08.10	17.08	17.16	16.95	17.11	15895	10287400	1
2017.08.11	17.23	17.27	17.12	17.22	26029	11266900	1
2017.08.14	17.20	17.49	17.16	17.38	26458	14945200	1
2017.08.15	17.43	17.55	17.37	17.45	24323	11560000	1
2017.08.16	17.52	17.56	17.38	17.47	19096	14764200	1
2017.08.17	17.42	17.51	17.36	17.46	13213	5661600	1
2017.08.18	17.48	17.49	17.33	17.43	35036	13206900	1
2017.08.21	17.43	17.47	17.36	17.41	20729	13162600	1
2017.08.22	17.51	17.61	17.31	17.42	44903	17538400	1
2017.08.23	17.37	17.55	17.31	17.50	16449	8845400	1
2017.08.24	17.53	17.56	17.41	17.46	20705	13720400	1
2017.08.25	17.44	17.55	17.44	17.51	12278	6387200	1
2017.08.28	17.51	17.55	17.42	17.51	10782	4156900	1
2017.08.29	17.47	17.57	17.46	17.55	11442	4550100	1
2017.08.30	17.60	17.64	17.41	17.53	20815	8509900	1
2017.08.31	17.44	17.56	17.44	17.52	22247	11165000	1
2017.09.01	17.58	17.60	17.43	17.43	17781	17398400	1
2017.09.04	17.43	17.47	17.29	17.40	32398	12123900	1
2017.09.05	17.55	17.59	17.38	17.48	28957	18170100	1
2017.09.06	17.58	17.88	17.54	17.75	30978	20075700	1
2017.09.08	17.95	17.97	17.54	17.73	25953	14543800	1
2017.09.11	17.78	17.99	17.75	17.87	17446	11085800	1
2017.09.12	17.98	18.71	17.94	18.53	42351	28351200	1
2017.09.13	18.52	18.80	18.46	18.68	22171	11032800	1
2017.09.14	18.68	18.84	18.56	18.69	16848	8039300	1
2017.09.15	18.81	18.93	18.60	18.93	28626	26105000	1
2017.09.18	18.89	18.94	18.63	18.70	15102	13900100	1
2017.09.19	18.70	18.95	18.67	18.88	35109	9965400	1
2017.09.20	18.84	18.95	18.70	18.95	27933	17034200	1
2017.09.21	18.96	19.14	18.76	18.84	21738	8963000	1
2017.09.22	18.86	19.07	18.84	18.98	19346	12357300	1
2017.09.25	18.98	19.03	18.84	18.96	15779	8263900	1
2017.09.26	19.05	19.05	18.62	18.68	20685	24363100	1
2017.09.27	18.76	18.77	18.37	18.61	18509	13290500	1
2017.09.28	18.68	18.71	18.55	18.58	22270	10410000	1
2017.09.29	18.63	18.69	18.37	18.56	15740	12737700	1
2017.10.02	18.45	18.45	18.06	18.26	22341	17597200	1
2017.10.03	18.24	18.97	18.16	18.89	30219	19708200	1
2017.10.04	18.85	18.96	18.59	18.70	20113	13158000	1
2017.10.05	18.83	19.01	18.69	18.73	27042	17153500	1
2017.10.06	18.62	18.64	18.43	18.58	14006	7561700	1
2017.10.09	18.49	18.70	18.41	18.58	10544	5230800	1
2017.10.10	18.80	19.25	18.70	19.02	39411	32792500	1
2017.10.11	19.06	19.17	18.90	19.08	30115	25590300	1
2017.10.13	19.27	20.02	19.24	19.52	37692	26211100	1
2017.10.16	19.62	19.62	19.19	19.33	28756	13271300	1
2017.10.17	19.33	19.40	19.09	19.18	22700	7051900	1
2017.10.18	19.23	19.35	19.12	19.21	24498	14515700	1
2017.10.19	19.14	19.28	18.93	19.25	15623	7645000	1
2017.10.20	19.25	19.32	18.93	18.99	20432	11899200	1
2017.10.23	19.10	19.10	18.68	18.79	16391	8081700	1
2017.10.24	18.91	18.91	18.73	18.80	22822	11173800	1
2017.10.25	18.88	18.92	18.36	18.69	32832	15925200	1
2017.10.26	18.77	18.79	18.39	18.56	24176	11557100	1
2017.10.27	18.66	18.81	18.43	18.44	23240	14485400	1
2017.10.30	18.41	18.51	18.21	18.49	27083	17553000	1
2017.10.31	18.57	18.67	18.29	18.43	27749	14383100	1
2017.11.01	18.52	18.72	18.29	18.29	27139	16740800	1
2017.11.03	18.29	18.33	18.02	18.17	33835	20765200	1
2017.11.06	18.21	18.29	17.98	18.12	33154	12867000	1
2017.11.07	18.02	18.11	17.73	17.82	39496	17643000	1
2017.11.08	17.77	18.00	17.52	17.88	28582	19153700	1
2017.11.09	17.94	17.97	17.70	17.83	21732	12864700	1
2017.11.10	17.92	17.97	17.60	17.83	26304	15202100	1
2017.11.13	17.82	17.94	17.63	17.83	20014	9102700	1
2017.11.14	17.88	17.98	17.82	17.82	29032	14884900	1
2017.11.16	17.83	18.16	17.81	18.01	32625	15836100	1
2017.11.17	17.98	18.24	17.90	18.12	19019	9254300	1
2017.11.21	18.24	18.48	18.09	18.35	25176	13285900	1
2017.11.22	18.27	18.55	18.26	18.37	22469	16883600	1
2017.11.23	18.30	18.39	18.09	18.27	14183	5661300	1
2017.11.24	18.22	18.29	18.10	18.19	10651	4749100	1
2017.11.27	18.17	18.33	17.96	18.29	19434	8687300	1
2017.11.28	18.32	18.50	18.20	18.33	32390	15988100	1
2017.11.29	18.49	18.49	18.09	18.13	26465	15064800	1
2017.11.30	18.08	18.27	17.95	18.13	37009	24602200	1
2017.12.01	18.04	18.10	17.90	18.04	21295	7839500	1
2017.12.04	18.07	18.29	17.99	18.15	29728	11058600	1
2017.12.05	18.09	18.43	18.06	18.13	22589	15592800	1
2017.12.06	18.00	18.35	18.00	18.27	16112	8274000	1
2017.12.07	18.12	18.35	17.96	18.28	26394	12967300	1
2017.12.08	18.34	18.61	18.29	18.54	19834	18886800	1
2017.12.11	18.57	18.68	18.46	18.65	18606	13067700	1
2017.12.12	18.61	18.96	18.47	18.96	30278	23448800	1
2017.12.13	19.10	19.16	18.53	18.57	33997	27138100	1
2017.12.14	18.61	18.61	18.30	18.50	33139	18025500	1
2017.12.15	18.43	18.60	18.34	18.43	31324	18692900	1
2017.12.18	18.50	18.58	18.34	18.44	18106	18404300	1
2017.12.19	18.44	18.45	18.28	18.39	16684	8259800	1
2017.12.20	18.40	18.51	18.37	18.49	20028	8924800	1
2017.12.21	18.49	18.80	18.40	18.73	18774	18269800	1
2017.12.22	18.71	18.88	18.56	18.79	18996	9495400	1
2017.12.26	18.79	19.06	18.68	18.98	12414	8193200	1
2017.12.27	19.00	19.18	19.00	19.12	15681	5441900	1
2017.12.28	19.12	19.16	18.96	19.01	18828	9896000	1
2018.01.02	19.05	19.43	18.91	19.37	33606	12717800	1
2018.01.03	19.26	19.63	19.26	19.42	25372	9389900	1
2018.01.04	19.42	19.49	19.20	19.31	25266	9104300	1
2018.01.05	19.31	19.43	19.24	19.38	21617	11510200	1
2018.01.08	19.38	19.38	19.20	19.35	19475	7074000	1
2018.01.09	19.34	19.37	19.22	19.29	16477	5850700	1
2018.01.10	19.16	19.40	19.15	19.29	13283	5434100	1
2018.01.11	19.38	19.54	19.22	19.52	17596	8663800	1
2018.01.12	19.37	19.60	19.17	19.29	27595	15529600	1
2018.01.15	19.29	19.52	19.29	19.49	15633	4853800	1
2018.01.16	19.49	19.71	19.47	19.56	31646	9193800	1
