<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	13.01	13.06	12.77	12.87	20149	7210500	1
2017.06.02	12.97	13.01	12.59	12.70	29898	13182300	1
2017.06.05	12.59	12.81	12.55	12.69	16685	5636900	1
2017.06.06	12.69	12.97	12.67	12.86	15145	6519400	1
2017.06.07	13.06	13.09	12.92	13.06	15754	6644600	1
2017.06.08	12.99	12.99	12.74	12.87	17900	7574600	1
2017.06.09	12.95	12.95	12.59	12.60	21399	8073600	1
2017.06.12	12.59	12.62	12.21	12.40	32161	16908100	1
2017.06.13	12.45	12.55	12.29	12.30	21788	16232700	1
2017.06.14	12.49	12.84	12.49	12.78	34865	25159500	1
2017.06.16	12.70	12.75	12.57	12.72	19146	13775100	1
2017.06.19	12.68	12.89	12.65	12.75	12662	4604900	1
2017.06.20	12.66	12.78	12.43	12.45	24446	10120000	1
2017.06.21	12.54	12.61	12.30	12.38	25377	8008400	1
2017.06.22	12.41	12.56	12.31	12.54	13009	5504200	1
2017.06.23	12.49	12.61	12.40	12.43	9816	3441300	1
2017.06.26	12.57	13.03	12.55	12.99	23057	14664800	1
2017.06.27	12.97	13.05	12.78	12.85	24578	14027200	1
2017.06.28	12.93	13.00	12.71	12.96	17426	7472400	1
2017.06.29	13.04	13.08	12.78	13.02	12940	6459500	1
2017.06.30	13.09	13.29	13.01	13.25	19257	8376900	1
2017.07.03	13.32	13.43	13.22	13.36	24748	7351000	1
2017.07.04	13.27	13.42	13.27	13.38	9047	3039600	1
2017.07.05	13.41	13.44	13.16	13.38	16901	7856300	1
2017.07.06	13.36	13.41	13.16	13.19	22835	8439200	1
2017.07.07	13.24	13.31	13.00	13.20	15463	12167800	1
2017.07.10	13.25	13.40	13.18	13.35	23926	12303100	1
2017.07.11	13.35	13.61	13.28	13.58	14474	6598400	1
2017.07.12	13.74	13.98	13.64	13.94	29582	16578500	1
2017.07.13	13.97	14.16	13.94	14.06	30808	13863600	1
2017.07.14	14.16	14.18	14.01	14.08	22515	10071700	1
2017.07.17	14.07	14.07	13.89	13.98	15763	6927300	1
2017.07.18	13.97	14.16	13.83	14.16	15546	7731100	1
2017.07.19	14.16	14.21	13.91	13.98	20842	11451200	1
2017.07.20	13.99	14.16	13.93	13.93	11789	9240700	1
2017.07.21	13.93	14.00	13.80	13.88	13694	6651900	1
2017.07.24	13.97	14.02	13.85	14.00	14493	5937400	1
2017.07.25	14.05	14.25	14.03	14.22	31362	16530200	1
2017.07.26	14.23	14.36	14.04	14.10	25362	14243500	1
2017.07.27	14.22	14.23	13.95	14.08	21335	9466300	1
