<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	10:10:00	14.51	14.67	14.44	14.64	1362	1148400	1
2020.06.01	10:15:00	14.64	14.74	14.60	14.73	1567	980000	1
2020.06.01	10:20:00	14.72	14.77	14.68	14.77	1068	671000	1
2020.06.01	10:25:00	14.76	14.77	14.71	14.77	1049	721100	1
2020.06.01	10:30:00	14.77	14.81	14.73	14.77	937	654700	1
2020.06.01	10:35:00	14.78	14.90	14.76	14.89	1374	1187200	1
2020.06.01	10:40:00	14.90	14.94	14.87	14.91	1124	800900	1
2020.06.01	10:45:00	14.92	14.94	14.85	14.87	1036	537700	1
2020.06.01	10:50:00	14.87	14.87	14.82	14.83	908	499500	1
2020.06.01	10:55:00	14.83	14.84	14.81	14.81	753	247600	1
2020.06.01	11:00:00	14.81	14.91	14.81	14.84	1462	963100	1
2020.06.01	11:05:00	14.84	14.89	14.83	14.88	1123	652400	1
2020.06.01	11:10:00	14.87	14.96	14.87	14.91	2029	1589100	1
2020.06.01	11:15:00	14.91	14.91	14.85	14.85	930	554400	1
2020.06.01	11:20:00	14.87	14.91	14.83	14.88	1070	884700	1
2020.06.01	11:25:00	14.88	14.88	14.83	14.84	788	649900	1
2020.06.01	11:30:00	14.84	14.84	14.83	14.83	572	351800	1
2020.06.01	11:35:00	14.84	14.84	14.81	14.84	912	524900	1
2020.06.01	11:40:00	14.84	14.84	14.81	14.83	823	348900	1
2020.06.01	11:45:00	14.83	14.83	14.79	14.81	807	3440000	1
2020.06.01	11:50:00	14.81	14.82	14.80	14.82	653	277300	1
2020.06.01	11:55:00	14.82	14.83	14.81	14.81	798	361600	1
2020.06.01	12:00:00	14.81	14.82	14.74	14.77	1211	808500	1
2020.06.01	12:05:00	14.78	14.81	14.76	14.81	703	335100	1
2020.06.01	12:10:00	14.81	14.84	14.79	14.83	991	534600	1
2020.06.01	12:15:00	14.81	14.83	14.79	14.82	563	3195600	1
2020.06.01	12:20:00	14.82	14.87	14.81	14.84	788	325100	1
2020.06.01	12:25:00	14.84	14.85	14.82	14.84	1043	398300	1
2020.06.01	12:30:00	14.84	14.87	14.83	14.87	1089	451600	1
2020.06.01	12:35:00	14.87	14.90	14.85	14.88	1301	514800	1
2020.06.01	12:40:00	14.88	14.90	14.87	14.88	570	239500	1
2020.06.01	12:45:00	14.88	14.94	14.87	14.93	1447	1071600	1
2020.06.01	12:50:00	14.94	14.94	14.91	14.92	875	450900	1
2020.06.01	12:55:00	14.91	14.97	14.90	14.95	947	1713500	1
2020.06.01	13:00:00	14.94	14.97	14.93	14.97	899	384300	1
2020.06.01	13:05:00	14.97	15.00	14.96	14.99	1008	646000	1
2020.06.01	13:10:00	14.99	15.01	14.96	14.97	661	416600	1
2020.06.01	13:15:00	14.97	15.04	14.96	15.04	1481	2996500	1
2020.06.01	13:20:00	15.04	15.06	15.01	15.05	1027	553800	1
2020.06.01	13:25:00	15.05	15.05	15.01	15.03	775	365600	1
2020.06.01	13:30:00	15.02	15.07	15.02	15.06	1275	582600	1
2020.06.01	13:35:00	15.07	15.10	15.06	15.08	1339	1218700	1
2020.06.01	13:40:00	15.09	15.16	15.08	15.14	1313	2069000	1
2020.06.01	13:45:00	15.15	15.17	15.14	15.15	779	365200	1
2020.06.01	13:50:00	15.15	15.16	15.12	15.12	896	655700	1
2020.06.01	13:55:00	15.13	15.13	15.08	15.12	892	525400	1
2020.06.01	14:00:00	15.12	15.14	15.11	15.14	669	508200	1
2020.06.01	14:05:00	15.13	15.14	15.11	15.12	562	210800	1
2020.06.01	14:10:00	15.12	15.14	15.11	15.14	584	315200	1
2020.06.01	14:15:00	15.14	15.19	15.14	15.19	920	620300	1
2020.06.01	14:20:00	15.19	15.20	15.16	15.20	870	657200	1
2020.06.01	14:25:00	15.20	15.23	15.20	15.22	962	636000	1
2020.06.01	14:30:00	15.21	15.24	15.20	15.24	689	2317800	1
2020.06.01	14:35:00	15.24	15.25	15.22	15.24	896	447500	1
2020.06.01	14:40:00	15.25	15.32	15.24	15.30	1547	1029400	1
2020.06.01	14:45:00	15.30	15.32	15.26	15.27	1307	857700	1
2020.06.01	14:50:00	15.27	15.29	15.24	15.24	834	387100	1
2020.06.01	14:55:00	15.24	15.25	15.20	15.21	1403	1050600	1
2020.06.01	15:00:00	15.20	15.25	15.20	15.24	963	531300	1
2020.06.01	15:05:00	15.24	15.27	15.23	15.24	832	350000	1
2020.06.01	15:10:00	15.24	15.25	15.20	15.24	958	301000	1
2020.06.01	15:15:00	15.24	15.24	15.21	15.23	715	175900	1
2020.06.01	15:20:00	15.24	15.24	15.22	15.24	589	146300	1
2020.06.01	15:25:00	15.24	15.24	15.20	15.22	931	475000	1
2020.06.01	15:30:00	15.22	15.24	15.20	15.21	970	354600	1
2020.06.01	15:35:00	15.20	15.23	15.17	15.22	1516	660000	1
2020.06.01	15:40:00	15.21	15.22	15.19	15.20	678	245100	1
2020.06.01	15:45:00	15.20	15.24	15.20	15.24	833	295500	1
2020.06.01	15:50:00	15.24	15.27	15.24	15.27	1008	336100	1
2020.06.01	15:55:00	15.26	15.28	15.24	15.24	969	401800	1
2020.06.01	16:00:00	15.24	15.26	15.22	15.24	1094	354000	1
2020.06.01	16:05:00	15.24	15.29	15.23	15.26	1141	618100	1
2020.06.01	16:10:00	15.26	15.27	15.21	15.22	825	366500	1
2020.06.01	16:15:00	15.22	15.24	15.20	15.23	751	290700	1
2020.06.01	16:20:00	15.24	15.24	15.21	15.23	737	298100	1
2020.06.01	16:25:00	15.23	15.26	15.21	15.22	990	607500	1
2020.06.01	16:30:00	15.22	15.27	15.21	15.24	1040	590400	1
2020.06.01	16:35:00	15.24	15.26	15.23	15.24	845	357100	1
2020.06.01	16:40:00	15.24	15.26	15.22	15.24	1022	437800	1
2020.06.01	16:45:00	15.24	15.25	15.23	15.24	1221	577700	1
2020.06.01	16:50:00	15.24	15.32	15.21	15.21	1853	3779200	1
2020.06.02	10:05:00	15.51	15.56	15.41	15.55	1042	1274700	1
2020.06.02	10:10:00	15.53	15.61	15.50	15.50	1183	1064900	1
2020.06.02	10:15:00	15.52	15.56	15.47	15.53	1216	693000	1
2020.06.02	10:20:00	15.53	15.56	15.50	15.51	866	415600	1
2020.06.02	10:25:00	15.51	15.59	15.51	15.57	1369	666400	1
2020.06.02	10:30:00	15.57	15.59	15.50	15.52	1329	670900	1
2020.06.02	10:35:00	15.51	15.54	15.47	15.51	1177	561500	1
2020.06.02	10:40:00	15.52	15.62	15.50	15.62	1656	1007400	1
2020.06.02	10:45:00	15.62	15.64	15.50	15.54	1432	814000	1
2020.06.02	10:50:00	15.54	15.54	15.49	15.50	981	431200	1
2020.06.02	10:55:00	15.50	15.56	15.49	15.52	909	471200	1
2020.06.02	11:00:00	15.52	15.55	15.47	15.49	979	461400	1
2020.06.02	11:05:00	15.49	15.54	15.49	15.53	800	640300	1
2020.06.02	11:10:00	15.53	15.53	15.49	15.51	860	561900	1
2020.06.02	11:15:00	15.51	15.56	15.49	15.54	880	377500	1
2020.06.02	11:20:00	15.55	15.57	15.55	15.57	906	445600	1
2020.06.02	11:25:00	15.57	15.59	15.56	15.56	786	291100	1
2020.06.02	11:30:00	15.56	15.59	15.55	15.59	869	329100	1
2020.06.02	11:35:00	15.58	15.60	15.56	15.60	856	416500	1
2020.06.02	11:40:00	15.59	15.61	15.59	15.61	1519	713800	1
2020.06.02	11:45:00	15.60	15.64	15.60	15.63	1971	827200	1
