<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	18.96	19.24	18.80	19.08	7120	1132000	1
2017.06.02	19.22	19.29	19.01	19.09	7744	1093300	1
2017.06.05	19.03	19.28	18.86	18.94	6852	954000	1
2017.06.06	18.94	19.12	18.84	18.94	5755	881300	1
2017.06.07	19.10	19.13	18.91	19.13	5234	1040200	1
2017.06.08	19.06	19.09	18.82	18.98	4022	667700	1
2017.06.09	19.05	19.13	18.83	19.04	5911	959400	1
2017.06.12	19.08	19.08	18.84	18.98	5892	817300	1
2017.06.13	18.96	19.15	18.86	19.04	7709	1024900	1
2017.06.14	19.06	19.25	18.91	18.98	6768	1716800	1
2017.06.16	18.93	19.67	18.93	19.67	5654	3269600	1
2017.06.19	19.65	20.01	19.56	19.89	5029	716900	1
2017.06.20	19.89	20.00	19.68	19.78	6572	1221900	1
2017.06.21	19.72	20.21	19.72	19.92	7072	1135200	1
2017.06.22	19.88	20.14	19.76	19.86	5075	741700	1
2017.06.23	19.86	20.01	19.76	19.76	5001	834700	1
2017.06.26	19.85	20.08	19.72	19.96	4690	731200	1
2017.06.27	19.89	19.96	19.57	19.74	7028	1098400	1
2017.06.28	19.72	20.00	19.72	19.92	4515	665600	1
2017.06.29	19.97	19.97	19.44	19.44	5285	874600	1
2017.06.30	19.53	19.63	19.39	19.39	5629	854600	1
2017.07.03	19.53	19.66	19.41	19.62	2791	443200	1
2017.07.04	19.64	19.66	19.52	19.58	1401	201000	1
2017.07.05	19.62	19.74	19.30	19.42	4256	759400	1
2017.07.06	19.42	19.66	19.41	19.48	6137	938300	1
2017.07.07	19.58	19.94	19.56	19.66	6688	1138500	1
2017.07.10	19.92	19.93	19.65	19.89	4352	998200	1
2017.07.11	19.89	20.09	19.65	19.93	4551	997800	1
2017.07.12	20.08	20.34	19.88	20.05	6689	1438400	1
2017.07.13	20.13	20.13	19.81	20.00	3054	1363200	1
2017.07.14	20.04	20.08	19.75	19.86	4695	649700	1
2017.07.17	19.88	19.92	19.69	19.86	2251	388100	1
2017.07.18	19.84	19.97	19.71	19.92	2856	446600	1
2017.07.19	19.85	19.94	19.74	19.83	3055	493800	1
2017.07.20	19.88	19.93	19.68	19.90	3611	501200	1
2017.07.21	19.92	20.12	19.83	19.90	3435	625300	1
2017.07.24	19.99	20.09	19.93	20.07	2186	312200	1
2017.07.25	20.08	20.34	19.88	20.18	5105	711300	1
2017.07.26	20.15	20.23	19.98	20.04	4756	658400	1
2017.07.27	20.20	20.24	20.01	20.05	2776	424300	1
2017.07.28	20.29	20.34	19.90	19.97	3610	599900	1
2017.07.31	20.11	20.14	19.96	20.01	2075	688100	1
2017.08.01	20.10	20.38	20.06	20.26	5191	860200	1
2017.08.02	20.27	20.79	20.18	20.49	5458	893000	1
2017.08.03	20.53	20.78	20.49	20.69	4554	780000	1
2017.08.04	20.72	20.75	20.52	20.69	2563	423100	1
2017.08.07	20.78	20.96	20.46	20.74	4200	757200	1
2017.08.08	20.79	20.80	20.49	20.53	5967	1008000	1
2017.08.09	20.54	20.64	20.38	20.46	6356	1076900	1
2017.08.10	20.40	20.46	20.01	20.34	4360	842100	1
2017.08.11	20.37	20.59	20.23	20.47	4525	642400	1
2017.08.14	20.48	20.89	20.34	20.62	4818	678700	1
2017.08.15	20.72	20.97	20.63	20.78	4634	687000	1
2017.08.16	20.93	21.00	20.47	20.54	6279	1090400	1
2017.08.17	20.54	20.70	20.39	20.56	3180	532400	1
2017.08.18	20.65	20.81	20.50	20.78	2902	399200	1
2017.08.21	20.76	20.79	20.61	20.61	2361	319800	1
2017.08.22	20.73	20.85	20.73	20.79	5486	764400	1
2017.08.23	20.79	20.92	20.73	20.78	3949	559300	1
2017.08.24	20.88	20.90	20.75	20.85	3685	2473300	1
2017.08.25	20.88	21.08	20.82	20.92	2717	519800	1
2017.08.28	20.92	21.17	20.92	21.06	2250	418500	1
2017.08.29	21.01	21.32	20.97	21.28	4175	613200	1
2017.08.30	21.23	21.25	21.02	21.17	3758	624100	1
2017.08.31	21.20	21.66	21.20	21.50	8613	1802300	1
2017.09.01	21.45	21.62	21.34	21.55	6175	854200	1
2017.09.04	21.56	21.56	21.31	21.37	2267	281000	1
2017.09.05	21.52	21.66	21.41	21.56	5472	1069000	1
2017.09.06	21.64	21.72	21.44	21.44	7825	1036600	1
2017.09.08	21.47	22.00	21.46	21.93	5843	3083500	1
2017.09.11	21.98	22.60	21.97	22.54	4856	869800	1
2017.09.12	22.50	22.62	22.31	22.39	4350	1295900	1
2017.09.13	22.41	22.59	22.34	22.41	5054	1610500	1
2017.09.14	22.41	22.65	22.25	22.25	5427	967200	1
2017.09.15	22.29	22.33	21.75	21.78	9076	2082000	1
2017.09.18	21.90	22.25	21.90	22.12	3529	576000	1
2017.09.19	22.10	22.20	21.83	21.92	4044	871800	1
2017.09.20	21.94	22.04	21.65	21.74	6918	1390800	1
2017.09.21	21.81	22.10	21.45	21.56	4686	762300	1
2017.09.22	21.60	21.73	21.47	21.47	3982	578700	1
2017.09.25	21.47	21.57	21.23	21.35	3641	561900	1
2017.09.26	21.45	21.72	21.29	21.72	7658	1425700	1
2017.09.27	21.81	21.85	21.36	21.38	6004	1112900	1
2017.09.28	21.44	22.10	21.25	21.65	6927	1339200	1
2017.09.29	21.73	21.93	21.57	21.59	4901	981100	1
2017.10.02	21.65	21.75	21.31	21.40	3503	497900	1
2017.10.03	21.54	22.12	21.44	21.87	4917	1188500	1
2017.10.04	21.94	22.27	21.79	21.81	3509	460000	1
2017.10.05	21.96	22.84	21.96	22.15	6446	1676300	1
2017.10.06	22.00	22.13	21.78	22.01	2609	423700	1
2017.10.09	21.96	22.12	21.81	21.84	3194	505700	1
2017.10.10	22.04	22.54	21.94	22.07	4963	863900	1
2017.10.11	21.98	22.35	21.93	22.04	8439	1482300	1
