<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	10:00:00	18.96	18.99	18.90	18.90	56	8600	1
2017.06.01	10:15:00	18.87	18.90	18.83	18.84	37	4500	1
2017.06.01	10:30:00	18.83	18.88	18.80	18.86	105	15500	1
2017.06.01	10:45:00	18.85	18.93	18.85	18.92	108	19400	1
2017.06.01	11:00:00	18.92	18.97	18.92	18.96	207	31500	1
2017.06.01	11:15:00	18.96	19.03	18.95	19.02	220	33700	1
2017.06.01	11:30:00	19.03	19.24	19.01	19.18	341	71900	1
2017.06.01	11:45:00	19.18	19.18	19.01	19.04	477	75300	1
2017.06.01	12:00:00	19.04	19.08	19.00	19.06	326	47700	1
2017.06.01	12:15:00	19.06	19.06	18.96	19.00	374	53900	1
2017.06.01	12:30:00	19.00	19.00	18.96	18.98	297	36900	1
2017.06.01	12:45:00	18.97	19.04	18.97	19.02	204	26200	1
2017.06.01	13:00:00	19.02	19.13	19.00	19.08	288	57900	1
2017.06.01	13:15:00	19.08	19.08	19.01	19.03	287	38800	1
2017.06.01	13:30:00	19.03	19.09	19.02	19.05	337	51000	1
2017.06.01	13:45:00	19.05	19.09	18.97	18.98	219	28200	1
2017.06.01	14:00:00	18.98	19.03	18.96	18.98	192	24600	1
2017.06.01	14:15:00	18.99	19.09	18.97	19.07	269	37700	1
2017.06.01	14:30:00	19.07	19.09	19.04	19.08	188	24700	1
2017.06.01	14:45:00	19.09	19.09	18.98	19.04	256	35200	1
2017.06.01	15:00:00	19.02	19.06	18.98	19.01	200	25100	1
2017.06.01	15:15:00	19.01	19.05	18.98	19.01	263	35500	1
2017.06.01	15:30:00	19.00	19.01	18.97	18.97	260	38800	1
2017.06.01	15:45:00	18.98	19.04	18.94	18.95	306	46200	1
2017.06.01	16:00:00	18.96	19.01	18.90	18.96	384	50700	1
2017.06.01	16:15:00	18.95	19.03	18.93	18.98	299	39600	1
2017.06.01	16:30:00	18.97	19.04	18.95	19.02	331	46700	1
2017.06.01	16:45:00	19.01	19.08	18.99	19.08	289	126200	1
2017.06.02	10:00:00	19.22	19.22	19.04	19.09	84	10200	1
2017.06.02	10:15:00	19.05	19.10	19.04	19.06	115	13000	1
2017.06.02	10:30:00	19.05	19.08	19.01	19.08	343	42000	1
2017.06.02	10:45:00	19.08	19.08	19.02	19.04	263	30800	1
2017.06.02	11:00:00	19.04	19.12	19.02	19.12	390	51200	1
2017.06.02	11:15:00	19.12	19.15	19.06	19.14	406	56200	1
2017.06.02	11:30:00	19.14	19.19	19.07	19.18	360	51900	1
2017.06.02	11:45:00	19.18	19.25	19.11	19.23	495	80400	1
2017.06.02	12:00:00	19.22	19.28	19.14	19.20	528	74200	1
2017.06.02	12:15:00	19.20	19.20	19.13	19.17	342	43100	1
2017.06.02	12:30:00	19.16	19.27	19.16	19.24	212	26300	1
2017.06.02	12:45:00	19.24	19.28	19.20	19.20	259	33900	1
2017.06.02	13:00:00	19.20	19.27	19.18	19.22	271	37700	1
2017.06.02	13:15:00	19.22	19.24	19.20	19.23	223	26600	1
2017.06.02	13:30:00	19.23	19.29	19.19	19.20	262	39000	1
2017.06.02	13:45:00	19.18	19.19	19.12	19.13	204	24300	1
2017.06.02	14:00:00	19.13	19.13	19.08	19.09	217	26200	1
2017.06.02	14:15:00	19.09	19.11	19.05	19.09	213	26100	1
2017.06.02	14:30:00	19.10	19.11	19.04	19.04	149	15900	1
2017.06.02	14:45:00	19.04	19.09	19.02	19.06	171	20500	1
2017.06.02	15:00:00	19.06	19.13	19.03	19.13	198	27000	1
2017.06.02	15:15:00	19.12	19.16	19.05	19.07	160	19500	1
2017.06.02	15:30:00	19.07	19.21	19.07	19.12	241	31800	1
2017.06.02	15:45:00	19.12	19.17	19.06	19.16	314	46300	1
2017.06.02	16:00:00	19.14	19.22	19.11	19.15	423	61500	1
2017.06.02	16:15:00	19.14	19.15	19.07	19.07	257	32800	1
2017.06.02	16:30:00	19.09	19.12	19.04	19.12	299	46200	1
