<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	15.52	15.58	15.20	15.28	24683	8985700	1
2017.06.02	15.43	15.52	15.28	15.43	26437	9360000	1
2017.06.05	15.34	15.61	15.31	15.41	15606	8446500	1
2017.06.06	15.40	15.73	15.35	15.66	19351	12526600	1
2017.06.07	15.81	15.99	15.78	15.92	21865	10371200	1
2017.06.08	15.86	15.87	15.62	15.75	25705	9163500	1
2017.06.09	15.83	15.87	15.48	15.50	24477	10857700	1
2017.06.12	15.46	15.52	15.29	15.50	25550	9631800	1
2017.06.13	15.53	15.71	15.52	15.69	23801	10196600	1
2017.06.14	15.78	16.01	15.73	15.83	45083	20670300	1
2017.06.16	15.78	15.79	15.58	15.72	22172	16685600	1
2017.06.19	15.72	15.91	15.62	15.80	14347	6047200	1
2017.06.20	15.74	15.81	15.41	15.45	22979	11170900	1
2017.06.21	15.55	15.59	15.33	15.47	20088	7477700	1
2017.06.22	15.53	15.62	15.43	15.49	24475	10116600	1
2017.06.23	15.49	15.57	15.40	15.43	16755	6556700	1
2017.06.26	15.57	15.91	15.48	15.87	23500	9932800	1
2017.06.27	15.86	15.92	15.61	15.72	21654	10184400	1
2017.06.28	15.83	15.83	15.54	15.72	20735	7638100	1
2017.06.29	15.83	15.88	15.66	15.88	15742	7577700	1
2017.06.30	15.93	16.08	15.88	15.98	20772	8348200	1
2017.07.03	16.07	16.14	16.00	16.13	10224	4851500	1
2017.07.04	16.10	16.17	16.05	16.07	6683	2419000	1
2017.07.05	16.11	16.20	15.94	16.11	17292	6764000	1
2017.07.06	16.06	16.10	15.83	15.88	20854	10544400	1
2017.07.07	16.04	16.04	15.64	15.73	22223	15882900	1
2017.07.10	15.75	15.92	15.74	15.86	15098	6994400	1
2017.07.11	15.88	16.15	15.81	16.10	14308	8251700	1
2017.07.12	16.18	16.37	15.87	16.27	36678	21978400	1
2017.07.13	16.33	16.40	16.22	16.32	18301	9164500	1
2017.07.14	16.40	16.42	16.15	16.35	24059	9005800	1
2017.07.17	16.29	16.33	16.12	16.19	18128	7852300	1
2017.07.18	16.18	16.25	16.08	16.21	16059	7700000	1
2017.07.19	16.33	16.33	15.97	15.98	19380	8205500	1
2017.07.20	15.98	16.13	15.94	15.99	16502	9532400	1
2017.07.21	15.97	16.08	15.90	16.00	12479	7523400	1
2017.07.24	16.05	16.15	15.97	16.10	16180	5738900	1
2017.07.25	16.16	16.30	16.03	16.14	30140	10979200	1
2017.07.26	16.14	16.21	16.02	16.06	19826	8086600	1
2017.07.27	16.19	16.26	15.99	16.08	22602	8450100	1
2017.07.28	15.99	16.20	15.94	16.14	18936	7214200	1
2017.07.31	16.23	16.29	16.07	16.24	18892	9220800	1
2017.08.01	16.55	16.87	16.50	16.76	35718	16640300	1
2017.08.02	16.70	16.99	16.61	16.93	27121	13536300	1
2017.08.03	16.92	17.01	16.82	16.89	20924	8823200	1
2017.08.04	16.98	16.99	16.79	16.85	11923	4354800	1
2017.08.07	16.86	17.12	16.79	17.12	19471	9131600	1
2017.08.08	17.11	17.45	17.03	17.32	37733	18677200	1
2017.08.09	17.19	17.24	17.07	17.22	16311	6876100	1
2017.08.10	17.22	17.22	16.93	17.00	22842	6746800	1
2017.08.11	16.96	17.16	16.86	17.09	17064	7278700	1
2017.08.14	17.11	17.49	17.11	17.39	18347	9737300	1
2017.08.15	17.54	17.63	17.39	17.44	17829	8968800	1
2017.08.16	17.58	17.59	17.28	17.48	20782	11772600	1
2017.08.17	17.43	17.46	17.23	17.34	21446	10006600	1
2017.08.18	17.34	17.60	17.31	17.50	14505	6420900	1
2017.08.21	17.50	17.59	17.29	17.37	14733	8931100	1
2017.08.22	17.51	17.86	17.48	17.74	21543	10049100	1
2017.08.23	17.86	17.97	17.73	17.94	18493	6977400	1
2017.08.24	17.96	18.15	17.92	18.09	21184	9827700	1
2017.08.25	18.13	18.16	17.91	18.03	12785	6557600	1
