<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	10:00:00	17.84	17.99	17.74	17.96	1053	530700	1
2020.06.01	10:15:00	17.95	18.18	17.93	18.12	1768	924500	1
2020.06.01	10:30:00	18.11	18.35	18.08	18.32	2635	1545700	1
2020.06.01	10:45:00	18.32	18.38	18.14	18.14	2130	839300	1
2020.06.01	11:00:00	18.14	18.27	18.13	18.21	1997	1142200	1
2020.06.01	11:15:00	18.20	18.22	18.09	18.17	2115	1281500	1
2020.06.01	11:30:00	18.17	18.20	18.09	18.16	2616	3765900	1
2020.06.01	11:45:00	18.16	18.17	18.10	18.17	1383	681300	1
2020.06.01	12:00:00	18.16	18.18	18.11	18.15	1854	911000	1
2020.06.01	12:15:00	18.16	18.17	18.12	18.17	1234	444000	1
2020.06.01	12:30:00	18.16	18.25	18.14	18.21	2171	1333800	1
2020.06.01	12:45:00	18.21	18.37	18.20	18.32	1864	1120600	1
2020.06.01	13:00:00	18.31	18.35	18.28	18.29	1112	434600	1
2020.06.01	13:15:00	18.30	18.39	18.27	18.35	2353	881100	1
2020.06.01	13:30:00	18.35	18.49	18.35	18.47	2679	1595100	1
2020.06.01	13:45:00	18.47	18.50	18.34	18.38	2410	1827600	1
2020.06.01	14:00:00	18.39	18.40	18.37	18.40	1096	461900	1
2020.06.01	14:15:00	18.40	18.50	18.38	18.47	1494	524500	1
2020.06.01	14:30:00	18.47	18.60	18.45	18.57	2319	1524900	1
2020.06.01	14:45:00	18.57	18.63	18.54	18.56	4099	4158900	1
2020.06.01	15:00:00	18.56	18.60	18.52	18.55	2937	1327100	1
2020.06.01	15:15:00	18.54	18.60	18.51	18.60	2225	820700	1
2020.06.01	15:30:00	18.59	18.60	18.53	18.56	2316	695100	1
2020.06.01	15:45:00	18.56	18.63	18.52	18.60	3751	1366200	1
2020.06.01	16:00:00	18.60	18.63	18.56	18.56	2735	1107700	1
2020.06.01	16:15:00	18.56	18.59	18.54	18.58	2625	1527800	1
2020.06.01	16:30:00	18.58	18.63	18.56	18.60	2742	1738400	1
2020.06.01	16:45:00	18.60	18.63	18.49	18.49	2451	4468000	1
2020.06.02	10:00:00	18.75	18.99	18.62	18.87	2104	1585500	1
2020.06.02	10:15:00	18.87	19.02	18.81	18.97	2806	1477800	1
2020.06.02	10:30:00	18.97	19.00	18.88	18.99	2887	1498900	1
2020.06.02	10:45:00	18.99	19.00	18.84	18.88	2422	1196400	1
2020.06.02	11:00:00	18.88	18.92	18.85	18.88	1638	664800	1
2020.06.02	11:15:00	18.87	19.02	18.87	18.98	2347	1472400	1
2020.06.02	11:30:00	18.97	19.16	18.96	19.14	4091	2592900	1
2020.06.02	11:45:00	19.14	19.27	19.13	19.27	4319	2191200	1
2020.06.02	12:00:00	19.26	19.35	19.20	19.24	5225	3671200	1
2020.06.02	12:15:00	19.24	19.35	19.23	19.25	2510	1310600	1
2020.06.02	12:30:00	19.24	19.31	19.22	19.31	2136	862300	1
2020.06.02	12:45:00	19.31	19.45	19.27	19.33	3714	3015800	1
2020.06.02	13:00:00	19.33	19.37	19.27	19.31	2585	1895600	1
2020.06.02	13:15:00	19.31	19.36	19.28	19.35	1902	1034300	1
