<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	6.99	7.43	6.69	6.74	74143	42058200	1
2017.06.02	6.88	7.01	6.39	6.53	39127	23533100	1
2017.06.05	6.51	6.58	6.24	6.27	24420	12728100	1
2017.06.06	6.50	6.90	6.36	6.79	48589	34614800	1
2017.06.07	6.79	7.01	6.57	6.62	45691	21876400	1
2017.06.08	6.47	6.55	6.20	6.43	27208	20551600	1
2017.06.09	6.40	6.45	6.06	6.26	36870	23277000	1
2017.06.12	6.02	6.51	5.98	6.01	47427	35884800	1
2017.06.13	6.17	6.18	5.81	5.85	27744	17072100	1
2017.06.14	5.86	5.97	5.79	5.81	29120	17719600	1
2017.06.16	5.79	6.15	5.66	5.69	33306	29649000	1
2017.06.19	5.73	5.77	5.42	5.46	29115	21111200	1
2017.06.20	5.59	5.59	5.05	5.17	49477	36568100	1
2017.06.21	5.16	5.44	5.11	5.44	37074	27462200	1
2017.06.22	5.51	5.51	5.29	5.45	31023	17776100	1
2017.06.23	5.34	5.45	5.31	5.38	21694	18540500	1
2017.06.26	5.43	5.46	5.25	5.31	13883	8377300	1
2017.06.27	5.33	5.36	5.26	5.30	14281	10554400	1
2017.06.28	5.32	5.33	5.24	5.29	15429	9177000	1
2017.06.29	5.31	5.48	5.27	5.42	18486	13515400	1
2017.06.30	5.43	5.75	5.43	5.61	36430	17818500	1
2017.07.03	5.65	5.96	5.54	5.79	28081	18899200	1
2017.07.04	5.79	5.93	5.68	5.68	12958	8253300	1
2017.07.05	5.72	5.81	5.51	5.55	16340	11436900	1
2017.07.06	5.54	5.56	5.37	5.42	16826	10709500	1
2017.07.07	5.42	5.54	5.39	5.45	11604	8273100	1
2017.07.10	5.50	5.59	5.47	5.55	17590	11379400	1
2017.07.11	5.58	5.70	5.56	5.65	14699	9346700	1
2017.07.12	5.73	5.75	5.56	5.67	21862	10367200	1
2017.07.13	5.90	6.22	5.85	6.21	28511	29036500	1
2017.07.14	6.32	6.34	6.05	6.15	28500	27102100	1
2017.07.17	6.17	6.27	6.11	6.20	12867	10852600	1
2017.07.18	6.25	6.26	6.10	6.10	10444	7592300	1
2017.07.19	6.13	6.14	5.92	6.10	12525	9295600	1
2017.07.20	6.13	6.19	6.05	6.07	6901	5387500	1
2017.07.21	6.10	6.12	5.94	5.97	7977	4927300	1
2017.07.24	5.97	5.97	5.91	5.96	11707	7501800	1
2017.07.25	5.98	6.06	5.96	6.02	9825	6670800	1
2017.07.26	6.10	6.47	6.09	6.42	26028	23059100	1
2017.07.27	6.45	6.85	6.44	6.79	21112	20345700	1
2017.07.28	6.81	6.81	6.47	6.59	18559	19100300	1
2017.07.31	6.66	6.68	6.54	6.62	13923	10466800	1
2017.08.01	6.83	6.87	6.60	6.62	14312	12952400	1
2017.08.02	6.67	6.72	6.53	6.63	15200	7548800	1
2017.08.03	6.67	6.76	6.59	6.68	15740	7300400	1
2017.08.04	6.75	6.79	6.69	6.73	8084	6304300	1
2017.08.07	6.73	6.86	6.71	6.83	14359	11856300	1
2017.08.08	6.87	7.36	6.84	7.35	25709	20090200	1
2017.08.09	7.31	7.32	7.08	7.08	19749	9656800	1
2017.08.10	7.07	7.22	6.83	6.83	12003	7169400	1
2017.08.11	6.95	7.28	6.91	7.22	18947	7715200	1
2017.08.14	7.44	7.52	7.26	7.39	23255	10723500	1
2017.08.15	7.35	7.71	7.23	7.47	29319	11561800	1
2017.08.16	7.57	7.69	7.43	7.48	16386	10327800	1
2017.08.17	7.50	7.51	7.12	7.17	13721	7240600	1
2017.08.18	7.26	7.35	6.89	7.02	22139	12357500	1
2017.08.21	7.07	7.15	6.82	6.88	20276	10383700	1
2017.08.22	6.98	7.12	6.90	6.90	24581	13070100	1
2017.08.23	7.02	7.09	6.91	7.04	13535	10090100	1
