<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.01	10:00:00	6.99	7.12	6.96	7.03	1820	1236500	1
2017.06.01	10:15:00	7.03	7.34	7.03	7.27	4290	3937900	1
2017.06.01	10:30:00	7.26	7.31	7.19	7.26	3785	2956400	1
2017.06.01	10:45:00	7.27	7.38	7.26	7.34	3883	2727800	1
2017.06.01	11:00:00	7.33	7.43	7.32	7.37	4128	2930400	1
2017.06.01	11:15:00	7.36	7.38	7.32	7.35	2541	1292700	1
2017.06.01	11:30:00	7.35	7.38	7.33	7.33	2743	1234600	1
2017.06.01	11:45:00	7.33	7.38	7.33	7.35	2991	1214400	1
2017.06.01	12:00:00	7.35	7.38	7.31	7.31	2506	2030100	1
2017.06.01	12:15:00	7.31	7.32	7.20	7.22	3665	1723400	1
2017.06.01	12:30:00	7.22	7.27	7.18	7.21	3081	1391200	1
2017.06.01	12:45:00	7.21	7.22	7.12	7.13	2393	1464500	1
2017.06.01	13:00:00	7.14	7.14	6.90	7.06	4692	2965100	1
2017.06.01	13:15:00	7.06	7.07	6.95	7.05	2306	1089400	1
2017.06.01	13:30:00	7.04	7.05	6.95	6.98	1963	798000	1
2017.06.01	13:45:00	6.97	7.00	6.85	6.87	2837	1398300	1
2017.06.01	14:00:00	6.87	6.90	6.71	6.81	3622	2124100	1
2017.06.01	14:15:00	6.80	6.99	6.78	6.89	2944	1630900	1
2017.06.01	14:30:00	6.89	6.97	6.88	6.88	1947	939300	1
2017.06.01	14:45:00	6.89	6.89	6.81	6.85	1917	791300	1
2017.06.01	15:00:00	6.84	6.86	6.78	6.80	1363	665400	1
2017.06.01	15:15:00	6.79	6.83	6.78	6.79	1462	403000	1
2017.06.01	15:30:00	6.79	6.95	6.78	6.89	2228	931400	1
2017.06.01	15:45:00	6.88	6.89	6.82	6.85	1751	523200	1
2017.06.01	16:00:00	6.85	6.87	6.82	6.83	1401	429600	1
2017.06.01	16:15:00	6.83	6.86	6.82	6.83	1651	625800	1
2017.06.01	16:30:00	6.83	6.83	6.69	6.79	2840	1279000	1
2017.06.01	16:45:00	6.79	6.81	6.74	6.74	1393	1324500	1
2017.06.02	10:00:00	6.88	7.01	6.85	6.92	1093	1262300	1
2017.06.02	10:15:00	6.92	7.00	6.87	6.91	1394	1045800	1
2017.06.02	10:30:00	6.92	6.92	6.62	6.77	4024	3101800	1
2017.06.02	10:45:00	6.77	6.77	6.65	6.66	1785	853200	1
2017.06.02	11:00:00	6.67	6.73	6.64	6.66	1443	621700	1
2017.06.02	11:15:00	6.67	6.75	6.59	6.62	1695	863700	1
2017.06.02	11:30:00	6.62	6.64	6.55	6.57	1564	907400	1
2017.06.02	11:45:00	6.58	6.61	6.52	6.52	1452	735500	1
2017.06.02	12:00:00	6.52	6.62	6.52	6.59	1199	611200	1
2017.06.02	12:15:00	6.58	6.63	6.57	6.61	1070	633700	1
2017.06.02	12:30:00	6.61	6.62	6.59	6.59	752	407700	1
2017.06.02	12:45:00	6.59	6.60	6.54	6.56	1051	492900	1
2017.06.02	13:00:00	6.56	6.57	6.50	6.51	991	501000	1
2017.06.02	13:15:00	6.51	6.56	6.51	6.52	978	459900	1
2017.06.02	13:30:00	6.52	6.53	6.50	6.52	751	396500	1
2017.06.02	13:45:00	6.51	6.54	6.51	6.52	597	223200	1
2017.06.02	14:00:00	6.52	6.54	6.51	6.52	653	309500	1
2017.06.02	14:15:00	6.51	6.52	6.43	6.45	1738	1301900	1
2017.06.02	14:30:00	6.45	6.46	6.39	6.44	1408	804000	1
2017.06.02	14:45:00	6.44	6.52	6.41	6.49	2328	1086000	1
2017.06.02	15:00:00	6.49	6.61	6.48	6.52	2016	1046600	1
2017.06.02	15:15:00	6.52	6.58	6.48	6.57	1557	730600	1
2017.06.02	15:30:00	6.56	6.58	6.49	6.53	1113	555500	1
2017.06.02	15:45:00	6.53	6.57	6.53	6.55	891	315300	1
2017.06.02	16:00:00	6.55	6.59	6.55	6.58	1357	577600	1
2017.06.02	16:15:00	6.58	6.58	6.53	6.55	1407	574600	1
2017.06.02	16:30:00	6.55	6.63	6.55	6.56	1452	866200	1
2017.06.02	16:45:00	6.56	6.58	6.52	6.53	1368	2247800	1
2017.06.05	10:00:00	6.51	6.52	6.34	6.41	1032	838600	1
2017.06.05	10:15:00	6.41	6.52	6.37	6.44	1020	613400	1
2017.06.05	10:30:00	6.43	6.48	6.40	6.45	912	326500	1
2017.06.05	10:45:00	6.46	6.49	6.42	6.46	984	367000	1
2017.06.05	11:00:00	6.47	6.58	6.46	6.52	1563	831100	1
2017.06.05	11:15:00	6.52	6.54	6.50	6.52	584	153600	1
2017.06.05	11:30:00	6.52	6.53	6.42	6.46	1071	415100	1
2017.06.05	11:45:00	6.46	6.46	6.42	6.44	659	228100	1
2017.06.05	12:00:00	6.44	6.46	6.42	6.42	508	166300	1
2017.06.05	12:15:00	6.43	6.45	6.42	6.42	522	169900	1
2017.06.05	12:30:00	6.43	6.44	6.39	6.40	561	289400	1
2017.06.05	12:45:00	6.40	6.42	6.37	6.38	711	241100	1
2017.06.05	13:00:00	6.38	6.40	6.36	6.39	512	241200	1
2017.06.05	13:15:00	6.38	6.44	6.36	6.41	828	589100	1
2017.06.05	13:30:00	6.41	6.44	6.40	6.41	626	242900	1
2017.06.05	13:45:00	6.40	6.41	6.36	6.39	789	331400	1
2017.06.05	14:00:00	6.39	6.42	6.38	6.40	744	245600	1
2017.06.05	14:15:00	6.39	6.40	6.34	6.34	1077	626800	1
2017.06.05	14:30:00	6.35	6.35	6.29	6.33	999	530900	1
2017.06.05	14:45:00	6.33	6.34	6.28	6.29	1171	657200	1
2017.06.05	15:00:00	6.29	6.30	6.24	6.28	1273	854100	1
2017.06.05	15:15:00	6.28	6.31	6.27	6.28	805	460200	1
2017.06.05	15:30:00	6.27	6.30	6.24	6.28	931	362900	1
2017.06.05	15:45:00	6.28	6.29	6.27	6.29	782	280300	1
2017.06.05	16:00:00	6.28	6.34	6.28	6.28	1135	511200	1
2017.06.05	16:15:00	6.28	6.31	6.27	6.28	887	502700	1
2017.06.05	16:30:00	6.28	6.30	6.27	6.28	884	446900	1
2017.06.05	16:45:00	6.28	6.28	6.25	6.27	850	1204600	1
2017.06.06	10:00:00	6.50	6.59	6.41	6.51	1060	1371300	1
2017.06.06	10:15:00	6.50	6.52	6.36	6.45	1867	1901300	1
2017.06.06	10:30:00	6.46	6.52	6.43	6.46	2311	1340000	1
2017.06.06	10:45:00	6.46	6.52	6.41	6.48	1702	1139800	1
2017.06.06	11:00:00	6.48	6.49	6.45	6.48	933	406800	1
2017.06.06	11:15:00	6.48	6.59	6.46	6.58	1770	1205300	1
2017.06.06	11:30:00	6.58	6.65	6.52	6.64	1838	1171900	1
2017.06.06	11:45:00	6.63	6.75	6.60	6.70	3306	2619800	1
2017.06.06	12:00:00	6.71	6.75	6.68	6.69	2095	1415600	1
2017.06.06	12:15:00	6.70	6.83	6.69	6.81	3116	2047400	1
2017.06.06	12:30:00	6.80	6.82	6.70	6.72	2515	1441100	1
2017.06.06	12:45:00	6.73	6.73	6.64	6.66	2590	1668600	1
2017.06.06	13:00:00	6.67	6.74	6.66	6.73	1434	792900	1
2017.06.06	13:15:00	6.73	6.78	6.71	6.77	1591	897600	1
2017.06.06	13:30:00	6.76	6.77	6.73	6.76	1095	511100	1
2017.06.06	13:45:00	6.76	6.83	6.76	6.80	1479	1109000	1
2017.06.06	14:00:00	6.80	6.87	6.80	6.83	1715	1200400	1
2017.06.06	14:15:00	6.83	6.83	6.76	6.76	1427	858400	1
2017.06.06	14:30:00	6.76	6.83	6.76	6.80	1097	695400	1
2017.06.06	14:45:00	6.80	6.83	6.78	6.82	989	577100	1
2017.06.06	15:00:00	6.81	6.90	6.80	6.89	1843	1820200	1
2017.06.06	15:15:00	6.89	6.90	6.85	6.87	1767	1046000	1
2017.06.06	15:30:00	6.87	6.89	6.85	6.89	1535	1184200	1
2017.06.06	15:45:00	6.89	6.89	6.84	6.86	1467	1118500	1
2017.06.06	16:00:00	6.87	6.89	6.85	6.87	1263	886500	1
2017.06.06	16:15:00	6.88	6.88	6.82	6.83	1826	1180900	1
2017.06.06	16:30:00	6.83	6.86	6.81	6.81	1559	918500	1
2017.06.06	16:45:00	6.81	6.83	6.77	6.79	1399	2089200	1
2017.06.07	10:00:00	6.79	7.00	6.76	6.96	1825	1359600	1
2017.06.07	10:15:00	6.96	7.01	6.89	6.91	2789	1913800	1
2017.06.07	10:30:00	6.91	6.95	6.83	6.90	2079	1064600	1
2017.06.07	10:45:00	6.90	6.91	6.65	6.74	3446	1754700	1
2017.06.07	11:00:00	6.75	6.78	6.66	6.76	2699	1075900	1
2017.06.07	11:15:00	6.76	6.77	6.68	6.72	1787	804900	1
2017.06.07	11:30:00	6.72	6.74	6.70	6.71	1136	394000	1
2017.06.07	11:45:00	6.71	6.73	6.66	6.70	1635	713300	1
2017.06.07	12:00:00	6.69	6.74	6.69	6.72	1896	625600	1
2017.06.07	12:15:00	6.73	6.74	6.69	6.70	1441	498200	1
2017.06.07	12:30:00	6.70	6.70	6.64	6.68	1942	762500	1
2017.06.07	12:45:00	6.69	6.69	6.61	6.65	1792	1081900	1
2017.06.07	13:00:00	6.64	6.67	6.58	6.61	1780	804800	1
2017.06.07	13:15:00	6.62	6.69	6.58	6.64	1503	744600	1
2017.06.07	13:30:00	6.64	6.74	6.63	6.73	1852	928500	1
2017.06.07	13:45:00	6.72	6.74	6.66	6.69	1401	537400	1
2017.06.07	14:00:00	6.69	6.69	6.66	6.68	816	236500	1
2017.06.07	14:15:00	6.68	6.69	6.66	6.67	856	369600	1
2017.06.07	14:30:00	6.66	6.69	6.66	6.68	851	276600	1
2017.06.07	14:45:00	6.68	6.69	6.66	6.68	666	190100	1
2017.06.07	15:00:00	6.68	6.71	6.65	6.69	983	469800	1
2017.06.07	15:15:00	6.69	6.70	6.62	6.64	973	536800	1
2017.06.07	15:30:00	6.64	6.68	6.62	6.63	1782	854200	1
2017.06.07	15:45:00	6.63	6.64	6.57	6.61	1784	732900	1
2017.06.07	16:00:00	6.60	6.62	6.58	6.60	1397	410500	1
2017.06.07	16:15:00	6.60	6.62	6.60	6.62	1449	654500	1
2017.06.07	16:30:00	6.62	6.68	6.62	6.65	1891	863100	1
2017.06.07	16:45:00	6.64	6.65	6.62	6.62	1240	1217500	1
2017.06.08	10:00:00	6.47	6.55	6.43	6.48	956	1205900	1
2017.06.08	10:15:00	6.49	6.49	6.36	6.42	1803	1861700	1
2017.06.08	10:30:00	6.43	6.46	6.25	6.32	2375	2010500	1
2017.06.08	10:45:00	6.31	6.36	6.28	6.32	1306	886900	1
2017.06.08	11:00:00	6.31	6.36	6.30	6.34	794	439300	1
2017.06.08	11:15:00	6.34	6.34	6.27	6.31	1418	1070300	1
2017.06.08	11:30:00	6.30	6.31	6.23	6.25	1490	1341700	1
2017.06.08	11:45:00	6.25	6.27	6.20	6.23	1259	927900	1
2017.06.08	12:00:00	6.24	6.29	6.24	6.28	760	509200	1
2017.06.08	12:15:00	6.28	6.34	6.24	6.33	652	466100	1
2017.06.08	12:30:00	6.33	6.33	6.27	6.29	824	667200	1
