<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	10:00:00	19.50	19.59	19.38	19.59	1479	2064400	1
2020.06.01	10:15:00	19.58	19.68	19.35	19.45	9127	6078400	1
2020.06.01	10:30:00	19.46	19.67	19.35	19.64	5056	7353800	1
2020.06.01	10:45:00	19.64	19.73	19.49	19.52	4072	3375300	1
2020.06.01	11:00:00	19.52	19.74	19.48	19.68	3463	3547100	1
2020.06.01	11:15:00	19.68	19.74	19.66	19.73	2452	2146900	1
2020.06.01	11:30:00	19.73	19.74	19.66	19.71	1990	1450100	1
2020.06.01	11:45:00	19.71	19.71	19.64	19.64	2146	1361700	1
2020.06.01	12:00:00	19.64	19.66	19.57	19.64	2532	1846500	1
2020.06.01	12:15:00	19.64	19.70	19.53	19.57	3380	2748400	1
2020.06.01	12:30:00	19.58	19.63	19.52	19.59	3567	3545000	1
2020.06.01	12:45:00	19.60	19.69	19.57	19.64	3678	1976200	1
2020.06.01	13:00:00	19.63	19.83	19.62	19.74	5438	7301000	1
2020.06.01	13:15:00	19.74	19.87	19.74	19.86	4330	4799800	1
2020.06.01	13:30:00	19.85	19.89	19.83	19.84	3433	8171900	1
2020.06.01	13:45:00	19.84	19.87	19.78	19.80	2946	1703600	1
2020.06.01	14:00:00	19.80	19.84	19.80	19.82	2325	1122800	1
2020.06.01	14:15:00	19.83	19.88	19.80	19.81	2905	1442900	1
2020.06.01	14:30:00	19.81	19.88	19.80	19.84	3120	1511000	1
2020.06.01	14:45:00	19.85	19.88	19.80	19.80	3295	1486200	1
2020.06.01	15:00:00	19.80	19.82	19.75	19.82	3995	2570300	1
2020.06.01	15:15:00	19.81	19.83	19.74	19.80	3074	1624500	1
2020.06.01	15:30:00	19.80	19.84	19.79	19.80	2576	1102600	1
2020.06.01	15:45:00	19.81	19.87	19.80	19.81	2755	1498700	1
2020.06.01	16:00:00	19.80	19.84	19.80	19.81	2723	1176500	1
2020.06.01	16:15:00	19.80	19.82	19.74	19.75	3773	2134600	1
2020.06.01	16:30:00	19.75	19.81	19.72	19.74	6251	3419200	1
2020.06.01	16:45:00	19.74	19.79	19.65	19.67	5531	7543400	1
2020.06.02	10:00:00	20.08	20.13	20.01	20.02	2190	3723400	1
2020.06.02	10:15:00	20.01	20.09	19.96	20.06	4371	3876600	1
2020.06.02	10:30:00	20.06	20.07	19.93	20.04	7138	3417400	1
2020.06.02	10:45:00	20.04	20.08	20.00	20.05	5503	2140000	1
2020.06.02	11:00:00	20.04	20.07	20.02	20.06	3500	1270500	1
2020.06.02	11:15:00	20.06	20.14	20.05	20.12	13468	6807300	1
2020.06.02	11:30:00	20.13	20.22	20.10	20.12	5802	4723900	1
2020.06.02	11:45:00	20.12	20.16	20.07	20.10	8220	4877000	1
2020.06.02	12:00:00	20.11	20.20	20.07	20.15	5963	2496800	1
2020.06.02	12:15:00	20.16	20.21	20.14	20.16	1920	1504300	1
2020.06.02	12:30:00	20.16	20.18	20.12	20.14	1742	1433800	1
2020.06.02	12:45:00	20.14	20.18	20.13	20.16	1913	1399700	1
2020.06.02	13:00:00	20.16	20.18	20.13	20.17	1425	970300	1
2020.06.02	13:15:00	20.18	20.22	20.16	20.22	1540	1410500	1
2020.06.02	13:30:00	20.22	20.23	20.19	20.21	1485	1137400	1
2020.06.02	13:45:00	20.21	20.22	20.17	20.18	1251	967100	1
2020.06.02	14:00:00	20.19	20.20	20.16	20.17	1329	883300	1
2020.06.02	14:15:00	20.17	20.19	20.15	20.17	1583	877600	1
2020.06.02	14:30:00	20.17	20.22	20.15	20.22	1669	1178800	1
2020.06.02	14:45:00	20.22	20.22	20.17	20.22	1866	879000	1
2020.06.02	15:00:00	20.21	20.25	20.21	20.23	2206	1261700	1
2020.06.02	15:15:00	20.24	20.27	20.23	20.25	2391	1359300	1
2020.06.02	15:30:00	20.26	20.29	20.22	20.29	2942	1782700	1
2020.06.02	15:45:00	20.28	20.39	20.28	20.37	4215	3468800	1
2020.06.02	16:00:00	20.36	20.43	20.34	20.41	2546	2942500	1
2020.06.02	16:15:00	20.41	20.48	20.40	20.44	3122	3642500	1
2020.06.02	16:30:00	20.44	20.46	20.40	20.41	4192	4776500	1
2020.06.02	16:45:00	20.40	20.70	20.40	20.70	4007	10882900	1
2020.06.03	10:00:00	21.15	21.18	21.05	21.17	1748	2503200	1
2020.06.03	10:15:00	21.15	21.16	20.90	20.96	9495	6185400	1
2020.06.03	10:30:00	20.95	21.14	20.90	20.90	5357	5370400	1
2020.06.03	10:45:00	20.90	20.95	20.74	20.91	5691	6818600	1
2020.06.03	11:00:00	20.92	21.04	20.91	20.99	4278	5011900	1
2020.06.03	11:15:00	21.00	21.12	20.97	21.11	3793	3458100	1
2020.06.03	11:30:00	21.11	21.20	21.05	21.14	4374	3926800	1
2020.06.03	11:45:00	21.14	21.15	21.05	21.07	2840	1831300	1
2020.06.03	12:00:00	21.07	21.13	21.05	21.10	2271	1313200	1
2020.06.03	12:15:00	21.11	21.12	21.04	21.09	1996	1131000	1
2020.06.03	12:30:00	21.09	21.15	21.08	21.12	2392	1650900	1
2020.06.03	12:45:00	21.11	21.13	21.08	21.09	2991	901900	1
2020.06.03	13:00:00	21.10	21.12	21.05	21.10	3846	1437200	1
2020.06.03	13:15:00	21.09	21.12	21.02	21.08	2581	2104400	1
2020.06.03	13:30:00	21.07	21.10	21.06	21.08	2008	864400	1
2020.06.03	13:45:00	21.08	21.09	20.96	20.97	3214	1984300	1
2020.06.03	14:00:00	20.97	20.99	20.82	20.90	4254	4309000	1
2020.06.03	14:15:00	20.90	20.95	20.88	20.94	2932	1939100	1
2020.06.03	14:30:00	20.94	20.94	20.86	20.92	2685	1299200	1
2020.06.03	14:45:00	20.93	20.93	20.75	20.83	3783	4800000	1
2020.06.03	15:00:00	20.82	20.90	20.79	20.85	3116	2116700	1
2020.06.03	15:15:00	20.85	20.89	20.80	20.83	2958	1845900	1
2020.06.03	15:30:00	20.83	20.90	20.78	20.84	3687	4732100	1
2020.06.03	15:45:00	20.84	20.84	20.74	20.75	3059	2014900	1
2020.06.03	16:00:00	20.75	20.78	20.71	20.74	3347	1988700	1
2020.06.03	16:15:00	20.73	20.88	20.71	20.83	4994	5944200	1
2020.06.03	16:30:00	20.83	20.86	20.81	20.81	4354	1990900	1
2020.06.03	16:45:00	20.82	20.83	20.75	20.77	3730	6145200	1
2020.06.04	10:00:00	20.69	20.72	20.52	20.60	1954	2380600	1
2020.06.04	10:15:00	20.60	20.70	20.52	20.59	2729	2833400	1
2020.06.04	10:30:00	20.59	20.66	20.43	20.43	4580	4741700	1
2020.06.04	10:45:00	20.44	20.61	20.36	20.43	3635	5715600	1
2020.06.04	11:00:00	20.43	20.57	20.43	20.55	3001	3467700	1
2020.06.04	11:15:00	20.56	20.61	20.51	20.51	2572	3410200	1
2020.06.04	11:30:00	20.52	20.53	20.39	20.50	4262	6273400	1
2020.06.04	11:45:00	20.49	20.70	20.46	20.63	3277	3502700	1
2020.06.04	12:00:00	20.64	20.69	20.48	20.50	2143	1868400	1
2020.06.04	12:15:00	20.51	20.60	20.47	20.58	1758	1650100	1
2020.06.04	12:30:00	20.57	20.67	20.55	20.66	1821	2231300	1
2020.06.04	12:45:00	20.66	20.67	20.60	20.64	1922	1577200	1
2020.06.04	13:00:00	20.64	20.69	20.57	20.57	3175	6219600	1
2020.06.04	13:15:00	20.57	20.66	20.55	20.65	1768	2059600	1
2020.06.04	13:30:00	20.66	20.69	20.56	20.68	1764	1378100	1
2020.06.04	13:45:00	20.68	20.69	20.62	20.63	1611	2720900	1
2020.06.04	14:00:00	20.63	20.67	20.61	20.65	1285	1496200	1
2020.06.04	14:15:00	20.65	20.84	20.64	20.78	4756	3033900	1
2020.06.04	14:30:00	20.78	20.85	20.69	20.77	6113	5719300	1
2020.06.04	14:45:00	20.77	21.03	20.75	20.91	6847	14014100	1
2020.06.04	15:00:00	20.91	20.99	20.85	20.95	2878	3549600	1
2020.06.04	15:15:00	20.94	20.95	20.84	20.92	2058	4364900	1
2020.06.04	15:30:00	20.92	20.94	20.82	20.94	2309	2383100	1
2020.06.04	15:45:00	20.93	21.07	20.91	20.91	3070	3609800	1
2020.06.04	16:00:00	20.92	20.98	20.81	20.83	2065	2064600	1
2020.06.04	16:15:00	20.82	20.86	20.74	20.75	2802	4195500	1
2020.06.04	16:30:00	20.75	20.82	20.74	20.77	2949	3607900	1
2020.06.04	16:45:00	20.77	20.80	20.67	20.73	3330	6861200	1
2020.06.05	10:00:00	21.57	22.28	21.57	21.93	7859	9994500	1
2020.06.05	10:15:00	21.93	22.25	21.63	21.65	12831	10908100	1
2020.06.05	10:30:00	21.65	21.78	21.52	21.58	7760	7524000	1
2020.06.05	10:45:00	21.58	21.58	21.41	21.46	8008	5650300	1
2020.06.05	11:00:00	21.46	21.55	21.36	21.46	6056	6101400	1
2020.06.05	11:15:00	21.47	21.52	21.41	21.47	3749	6014500	1
2020.06.05	11:30:00	21.47	21.47	21.40	21.41	2952	1817200	1
2020.06.05	11:45:00	21.42	21.44	21.34	21.44	3481	3090600	1
2020.06.05	12:00:00	21.44	21.50	21.39	21.47	2976	2495700	1
2020.06.05	12:15:00	21.46	21.65	21.45	21.58	9010	5663800	1
2020.06.05	12:30:00	21.58	21.63	21.52	21.55	7899	4801800	1
2020.06.05	12:45:00	21.56	21.61	21.54	21.59	2311	1029400	1
2020.06.05	13:00:00	21.59	21.61	21.53	21.53	1759	849300	1
2020.06.05	13:15:00	21.54	21.55	21.45	21.51	2800	3894500	1
2020.06.05	13:30:00	21.52	21.59	21.50	21.58	2702	1326400	1
2020.06.05	13:45:00	21.58	21.62	21.57	21.58	2658	2712300	1
2020.06.05	14:00:00	21.58	21.59	21.54	21.58	3309	2128900	1
2020.06.05	14:15:00	21.58	21.65	21.57	21.64	4116	3296100	1
2020.06.05	14:30:00	21.64	21.75	21.62	21.71	4546	3196700	1
2020.06.05	14:45:00	21.71	21.72	21.58	21.66	3058	3985300	1
2020.06.05	15:00:00	21.66	21.72	21.62	21.68	2639	2899400	1
2020.06.05	15:15:00	21.68	21.70	21.65	21.66	2456	1371800	1
2020.06.05	15:30:00	21.66	21.71	21.58	21.67	3355	2668700	1
2020.06.05	15:45:00	21.67	21.69	21.58	21.60	2679	1786600	1
2020.06.05	16:00:00	21.60	21.62	21.42	21.44	3319	3438700	1
2020.06.05	16:15:00	21.44	21.56	21.39	21.47	3666	2841200	1
2020.06.05	16:30:00	21.47	21.48	21.37	21.42	4693	5078900	1
2020.06.05	16:45:00	21.42	21.50	21.35	21.38	3853	6845000	1
2020.06.08	10:00:00	21.82	21.86	21.69	21.84	2273	3210900	1
2020.06.08	10:15:00	21.85	21.86	21.50	21.56	4354	5298500	1
2020.06.08	10:30:00	21.56	21.67	21.41	21.60	4913	4867700	1
2020.06.08	10:45:00	21.58	21.62	21.54	21.59	2453	2020800	1
2020.06.08	11:00:00	21.58	21.62	21.51	21.54	2225	1774400	1
2020.06.08	11:15:00	21.55	21.57	21.43	21.47	2756	3873000	1
2020.06.08	11:30:00	21.47	21.51	21.29	21.43	4369	5830200	1
2020.06.08	11:45:00	21.43	21.48	21.39	21.48	2771	2462200	1
2020.06.08	12:00:00	21.48	21.52	21.44	21.51	3205	2595800	1
2020.06.08	12:15:00	21.52	21.53	21.46	21.52	2253	1660900	1
2020.06.08	12:30:00	21.52	21.52	21.45	21.46	1661	1125000	1
2020.06.08	12:45:00	21.46	21.48	21.41	21.46	2092	1573000	1
2020.06.08	13:00:00	21.47	21.55	21.46	21.49	2003	2113000	1
2020.06.08	13:15:00	21.48	21.55	21.47	21.53	1540	1138300	1
2020.06.08	13:30:00	21.53	21.53	21.46	21.48	2519	2448400	1
2020.06.08	13:45:00	21.48	21.55	21.45	21.54	1750	1335100	1
2020.06.08	14:00:00	21.55	21.65	21.55	21.63	3052	2622200	1
2020.06.08	14:15:00	21.63	21.65	21.60	21.63	2610	2231200	1
2020.06.08	14:30:00	21.65	21.70	21.57	21.58	2676	5161900	1
2020.06.08	14:45:00	21.59	21.64	21.54	21.62	2335	3253600	1
2020.06.08	15:00:00	21.63	21.68	21.61	21.64	2152	3430100	1
2020.06.08	15:15:00	21.64	21.67	21.57	21.64	2574	2597200	1
2020.06.08	15:30:00	21.65	21.68	21.63	21.64	2239	1342200	1
2020.06.08	15:45:00	21.64	21.69	21.64	21.65	2369	2200700	1
2020.06.08	16:00:00	21.64	21.66	21.60	21.63	4305	1975800	1
2020.06.08	16:15:00	21.62	21.66	21.58	21.58	3432	3743500	1
2020.06.08	16:30:00	21.58	21.72	21.58	21.68	3754	3982600	1
2020.06.08	16:45:00	21.68	21.80	21.66	21.80	2881	5615000	1
2020.06.09	10:00:00	21.31	21.32	20.99	21.14	2380	2845000	1
2020.06.09	10:15:00	21.15	21.24	21.00	21.12	6039	6445300	1
2020.06.09	10:30:00	21.12	21.18	21.05	21.17	5492	6651000	1
2020.06.09	10:45:00	21.17	21.23	21.08	21.12	4395	6013000	1
2020.06.09	11:00:00	21.13	21.18	21.04	21.10	3799	3913200	1
2020.06.09	11:15:00	21.11	21.21	21.07	21.15	2964	2769500	1
2020.06.09	11:30:00	21.15	21.17	21.04	21.16	2928	2637600	1
2020.06.09	11:45:00	21.16	21.26	21.16	21.22	3606	5486200	1
2020.06.09	12:00:00	21.23	21.27	21.19	21.21	2481	1499800	1
2020.06.09	12:15:00	21.20	21.24	21.15	21.19	2514	1870200	1
2020.06.09	12:30:00	21.19	21.31	21.19	21.28	2569	1739400	1
2020.06.09	12:45:00	21.29	21.29	21.25	21.27	2479	1496600	1
2020.06.09	13:00:00	21.27	21.28	21.15	21.15	3378	1645200	1
2020.06.09	13:15:00	21.16	21.17	21.11	21.13	2981	1540700	1
2020.06.09	13:30:00	21.14	21.15	21.11	21.13	2353	1363500	1
2020.06.09	13:45:00	21.13	21.21	21.12	21.16	2501	1183500	1
2020.06.09	14:00:00	21.17	21.20	21.12	21.13	2509	1118600	1
2020.06.09	14:15:00	21.13	21.24	21.12	21.21	3207	1956300	1
2020.06.09	14:30:00	21.21	21.29	21.17	21.21	3568	2939000	1
2020.06.09	14:45:00	21.19	21.22	21.09	21.10	6316	3518700	1
2020.06.09	15:00:00	21.11	21.14	21.09	21.10	6025	2600200	1
2020.06.09	15:15:00	21.10	21.13	21.03	21.04	6437	5107200	1
2020.06.09	15:30:00	21.03	21.11	21.02	21.09	6320	3636500	1
2020.06.09	15:45:00	21.09	21.14	21.02	21.03	6180	3708300	1
2020.06.09	16:00:00	21.03	21.06	21.02	21.04	5907	2435700	1
2020.06.09	16:15:00	21.05	21.08	21.00	21.04	6782	3731800	1
2020.06.09	16:30:00	21.04	21.06	20.94	20.97	10057	8849300	1
2020.06.09	16:45:00	20.96	21.02	20.95	21.01	7300	6777800	1
2020.06.10	10:00:00	21.18	21.19	21.07	21.13	1268	1226800	1
2020.06.10	10:15:00	21.13	21.14	20.99	21.04	2783	2790000	1
2020.06.10	10:30:00	21.04	21.04	20.52	20.58	6998	7499200	1
2020.06.10	10:45:00	20.60	20.69	20.49	20.60	3998	5486000	1
2020.06.10	11:00:00	20.61	20.61	20.46	20.49	3832	5397100	1
2020.06.10	11:15:00	20.48	20.54	20.35	20.39	4361	6737800	1
2020.06.10	11:30:00	20.39	20.51	20.35	20.41	3681	3363400	1
2020.06.10	11:45:00	20.41	20.47	20.32	20.41	4070	4746600	1
2020.06.10	12:00:00	20.41	20.56	20.39	20.51	2048	1531800	1
2020.06.10	12:15:00	20.51	20.60	20.48	20.59	2678	1742800	1
2020.06.10	12:30:00	20.59	20.69	20.54	20.68	2561	3321800	1
2020.06.10	12:45:00	20.69	20.72	20.59	20.63	1483	1482700	1
2020.06.10	13:00:00	20.63	20.67	20.51	20.53	1701	1714000	1
2020.06.10	13:15:00	20.53	20.61	20.52	20.59	1188	945100	1
2020.06.10	13:30:00	20.59	20.59	20.51	20.55	1129	1188400	1
2020.06.10	13:45:00	20.54	20.59	20.52	20.56	1664	845600	1
2020.06.10	14:00:00	20.56	20.65	20.53	20.62	1963	1699800	1
2020.06.10	14:15:00	20.61	20.63	20.59	20.62	2174	3468400	1
2020.06.10	14:30:00	20.61	20.69	20.58	20.69	3609	4556800	1
2020.06.10	14:45:00	20.69	20.76	20.65	20.67	2973	5891500	1
2020.06.10	15:00:00	20.66	20.97	20.55	20.81	7601	8209900	1
2020.06.10	15:15:00	20.81	20.92	20.72	20.77	5033	3162300	1
2020.06.10	15:30:00	20.77	20.80	20.61	20.74	5970	3909800	1
2020.06.10	15:45:00	20.74	20.76	20.64	20.70	5473	4173100	1
2020.06.10	16:00:00	20.70	20.80	20.66	20.79	5077	3725500	1
2020.06.10	16:15:00	20.79	20.83	20.72	20.82	4903	2377000	1
2020.06.10	16:30:00	20.82	20.84	20.66	20.68	5428	2617900	1
2020.06.10	16:45:00	20.68	20.70	20.58	20.70	4696	8227200	1
2020.06.12	10:15:00	19.95	20.15	19.89	20.06	8099	8822600	1
2020.06.12	10:30:00	20.05	20.48	20.01	20.28	8299	10132700	1
2020.06.12	10:45:00	20.27	20.32	20.13	20.22	4480	3919100	1
2020.06.12	11:00:00	20.23	20.36	20.17	20.17	3740	3159700	1
2020.06.12	11:15:00	20.17	20.25	20.08	20.10	4661	3073300	1
2020.06.12	11:30:00	20.09	20.15	20.00	20.04	5666	4901700	1
2020.06.12	11:45:00	20.04	20.15	19.85	19.86	6354	5102300	1
2020.06.12	12:00:00	19.86	19.98	19.77	19.86	7303	6863400	1
2020.06.12	12:15:00	19.86	19.88	19.59	19.75	6675	6094600	1
2020.06.12	12:30:00	19.75	19.88	19.69	19.71	5375	4173400	1
2020.06.12	12:45:00	19.71	19.80	19.65	19.80	4760	3282100	1
2020.06.12	13:00:00	19.80	19.87	19.67	19.77	7249	3379500	1
2020.06.12	13:15:00	19.77	19.79	19.68	19.71	2820	1823200	1
2020.06.12	13:30:00	19.71	19.77	19.66	19.75	3832	2569600	1
2020.06.12	13:45:00	19.74	19.83	19.67	19.80	4104	2837700	1
2020.06.12	14:00:00	19.80	19.85	19.72	19.77	3325	2198900	1
2020.06.12	14:15:00	19.76	19.87	19.74	19.77	3173	2365700	1
2020.06.12	14:30:00	19.77	19.80	19.61	19.61	5797	5804900	1
2020.06.12	14:45:00	19.61	19.64	19.48	19.50	7115	5132800	1
2020.06.12	15:00:00	19.50	19.62	19.45	19.56	6428	3348200	1
2020.06.12	15:15:00	19.55	19.61	19.50	19.60	5327	2247200	1
2020.06.12	15:30:00	19.60	19.66	19.50	19.53	6127	3000500	1
2020.06.12	15:45:00	19.53	19.58	19.50	19.57	5665	2009100	1
2020.06.12	16:00:00	19.57	19.64	19.53	19.63	6353	4168600	1
2020.06.12	16:15:00	19.64	19.69	19.58	19.69	5855	3053400	1
2020.06.12	16:30:00	19.68	19.81	19.65	19.77	10199	4897000	1
2020.06.12	16:45:00	19.77	19.93	19.76	19.93	8549	7931500	1
2020.06.15	10:00:00	19.17	19.33	19.03	19.30	2664	3691900	1
2020.06.15	10:15:00	19.30	19.40	18.97	19.03	7037	6749900	1
2020.06.15	10:30:00	19.03	19.14	18.91	19.13	9298	10335600	1
2020.06.15	10:45:00	19.13	19.24	19.08	19.18	4882	4112000	1
2020.06.15	11:00:00	19.19	19.26	19.11	19.19	2967	2191800	1
2020.06.15	11:15:00	19.19	19.22	19.13	19.17	2590	2396100	1
2020.06.15	11:30:00	19.17	19.28	19.15	19.25	6370	2936900	1
2020.06.15	11:45:00	19.25	19.40	19.18	19.20	9324	4312600	1
2020.06.15	12:00:00	19.20	19.36	19.20	19.32	3145	2172100	1
2020.06.15	12:15:00	19.32	19.35	19.27	19.33	2748	1322700	1
2020.06.15	12:30:00	19.33	19.36	19.24	19.25	3251	2449100	1
2020.06.15	12:45:00	19.25	19.29	19.19	19.22	3122	2221400	1
2020.06.15	13:00:00	19.22	19.39	19.20	19.36	3291	2270400	1
2020.06.15	13:15:00	19.36	19.48	19.35	19.42	3993	2898000	1
2020.06.15	13:30:00	19.43	19.49	19.39	19.47	2733	1427000	1
2020.06.15	13:45:00	19.46	19.58	19.45	19.57	3522	2140300	1
2020.06.15	14:00:00	19.57	19.78	19.57	19.72	4137	3702800	1
2020.06.15	14:15:00	19.71	19.80	19.67	19.73	3789	3245500	1
2020.06.15	14:30:00	19.74	19.98	19.72	19.81	4553	3313700	1
2020.06.15	14:45:00	19.81	19.95	19.74	19.91	3627	2880800	1
2020.06.15	15:00:00	19.90	20.20	19.90	20.12	6015	6372900	1
2020.06.15	15:15:00	20.12	20.21	20.10	20.13	5157	5143100	1
2020.06.15	15:30:00	20.13	20.16	20.06	20.09	4341	2781500	1
