<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10.57	10.99	10.56	10.74	12991	4587900	1
2016.01.05	10.73	10.87	10.50	10.60	6567	2693500	1
2016.01.06	10.23	10.25	9.81	9.82	17533	6758900	1
2016.01.07	9.53	9.62	9.21	9.24	16995	6450400	1
2016.01.08	9.37	9.52	8.92	8.92	11629	4429400	1
2016.01.11	8.89	9.11	8.58	8.67	12098	5658100	1
2016.01.12	8.85	8.85	7.94	7.97	18151	7581600	1
2016.01.13	8.13	8.34	7.45	7.62	22240	9208300	1
2016.01.14	7.75	8.24	7.57	8.17	24973	11080500	1
2016.01.15	7.76	8.05	7.61	7.93	28353	13283400	1
2016.01.18	7.88	8.22	7.53	7.53	10408	3477600	1
2016.01.19	8.05	8.14	7.77	7.77	18666	10965000	1
2016.01.20	7.59	7.88	7.37	7.80	22581	10928000	1
2016.01.21	7.80	8.30	7.74	7.74	21393	10638200	1
2016.01.22	8.00	8.25	7.60	7.64	22375	14684700	1
2016.01.26	7.44	7.67	7.31	7.58	18499	7220500	1
2016.01.27	7.58	8.15	7.50	7.97	17470	7978500	1
2016.01.28	7.97	8.39	7.78	7.90	17966	8628400	1
2016.01.29	7.89	8.31	7.65	8.23	20316	13958500	1
2016.02.01	8.15	8.24	7.91	8.04	12550	6691400	1
2016.02.02	7.78	7.88	7.28	7.28	14017	5860700	1
2016.02.03	7.41	7.77	7.36	7.63	13254	6300800	1
2016.02.04	8.11	8.97	7.92	8.75	31636	14083200	1
2016.02.05	8.71	9.13	8.57	8.66	16975	9259100	1
2016.02.10	8.46	8.82	8.34	8.63	8307	4464700	1
2016.02.11	8.42	8.52	8.13	8.35	15612	6646600	1
2016.02.12	8.51	8.86	8.51	8.68	10560	5711100	1
2016.02.15	9.04	9.14	8.90	8.90	4717	2218500	1
2016.02.16	8.91	9.63	8.91	9.56	13978	7412800	1
2016.02.17	9.90	10.75	9.74	10.08	30781	12741500	1
2016.02.18	10.09	10.30	9.73	9.74	17438	9470200	1
2016.02.19	9.66	10.25	9.62	10.01	13220	7540200	1
2016.02.22	10.58	11.15	10.52	11.12	31927	12431000	1
2016.02.23	10.99	11.38	10.43	10.48	22756	9977100	1
2016.02.24	9.96	10.12	9.73	9.91	17052	8510200	1
2016.02.25	9.46	9.84	9.24	9.33	16914	7333900	1
