<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	10:00:00	49.43	49.56	49.14	49.45	1501	922500	1
2020.06.01	10:15:00	49.43	49.78	49.42	49.57	3871	2229200	1
2020.06.01	10:30:00	49.58	49.79	49.29	49.72	3674	2122000	1
2020.06.01	10:45:00	49.72	50.03	49.62	49.94	3049	1132200	1
2020.06.01	11:00:00	49.94	49.97	49.70	49.86	2379	844200	1
2020.06.01	11:15:00	49.86	49.92	49.72	49.82	2045	557200	1
2020.06.01	11:30:00	49.83	50.17	49.82	50.13	2994	1127900	1
2020.06.01	11:45:00	50.13	50.16	49.93	49.99	2373	775700	1
2020.06.01	12:00:00	49.99	50.02	49.88	50.02	1919	468500	1
2020.06.01	12:15:00	50.01	50.01	49.89	49.98	2024	785400	1
2020.06.01	12:30:00	49.97	50.13	49.94	50.02	3141	1188800	1
2020.06.01	12:45:00	50.02	50.20	50.00	50.13	2721	1056600	1
2020.06.01	13:00:00	50.13	50.31	50.12	50.30	2080	1157500	1
2020.06.01	13:15:00	50.30	50.40	50.24	50.31	2191	749600	1
2020.06.01	13:30:00	50.30	50.36	50.26	50.28	2266	1362800	1
2020.06.01	13:45:00	50.28	50.29	50.07	50.22	2330	646400	1
2020.06.01	14:00:00	50.23	50.24	50.05	50.11	1666	407900	1
2020.06.01	14:15:00	50.11	50.13	50.00	50.00	1779	543800	1
2020.06.01	14:30:00	50.00	50.22	49.99	50.21	1962	539200	1
2020.06.01	14:45:00	50.21	50.22	50.09	50.16	2164	550900	1
2020.06.01	15:00:00	50.17	50.22	49.92	50.19	3865	1391600	1
2020.06.01	15:15:00	50.18	50.24	50.17	50.19	1905	434800	1
2020.06.01	15:30:00	50.20	50.24	50.11	50.17	2169	565000	1
2020.06.01	15:45:00	50.17	50.21	49.91	50.11	2537	686200	1
2020.06.01	16:00:00	50.11	50.16	50.02	50.08	2450	952400	1
2020.06.01	16:15:00	50.09	50.11	50.02	50.07	2340	590400	1
2020.06.01	16:30:00	50.07	50.16	50.02	50.05	2789	686500	1
2020.06.01	16:45:00	50.06	50.07	49.95	50.00	1951	2532200	1
2020.06.02	10:00:00	50.35	50.35	49.76	49.80	2443	1433000	1
2020.06.02	10:15:00	49.79	50.14	49.64	49.86	3850	1407600	1
2020.06.02	10:30:00	49.89	50.11	49.84	50.05	3102	1120000	1
2020.06.02	10:45:00	50.07	50.20	50.05	50.15	2092	841500	1
2020.06.02	11:00:00	50.15	50.18	49.94	50.16	2493	1048200	1
2020.06.02	11:15:00	50.17	50.31	50.12	50.27	1813	664200	1
2020.06.02	11:30:00	50.28	50.31	50.05	50.07	1995	778500	1
2020.06.02	11:45:00	50.06	50.21	50.02	50.06	2480	999100	1
2020.06.02	12:00:00	50.07	50.12	49.87	49.98	2598	1028600	1
2020.06.02	12:15:00	49.96	49.99	49.75	49.76	1814	643200	1
2020.06.02	12:30:00	49.75	49.80	49.60	49.77	2966	1221200	1
2020.06.02	12:45:00	49.77	50.02	49.76	49.95	2762	990100	1
2020.06.02	13:00:00	49.95	50.04	49.84	50.04	2344	721100	1
2020.06.02	13:15:00	50.03	50.08	49.86	49.92	2257	1027600	1
2020.06.02	13:30:00	49.92	49.96	49.82	49.82	1571	778700	1
2020.06.02	13:45:00	49.82	49.87	49.74	49.83	1326	404700	1
2020.06.02	14:00:00	49.83	49.97	49.81	49.88	1674	540000	1
2020.06.02	14:15:00	49.88	49.97	49.85	49.92	1301	300200	1
2020.06.02	14:30:00	49.91	50.02	49.90	49.97	1284	409100	1
2020.06.02	14:45:00	49.97	50.02	49.91	49.98	1550	587900	1
2020.06.02	15:00:00	50.00	50.07	49.95	50.01	1477	521900	1
2020.06.02	15:15:00	50.02	50.06	49.96	49.97	1311	336800	1
2020.06.02	15:30:00	49.97	49.99	49.80	49.91	1925	739200	1
2020.06.02	15:45:00	49.93	50.02	49.84	49.85	2581	885300	1
2020.06.02	16:00:00	49.85	49.98	49.80	49.94	2080	667100	1
2020.06.02	16:15:00	49.94	49.97	49.77	49.86	3368	835900	1
2020.06.02	16:30:00	49.85	49.95	49.77	49.95	3371	1086800	1
2020.06.02	16:45:00	49.96	50.05	49.88	50.00	2434	3398800	1
2020.06.03	10:00:00	50.45	50.86	50.27	50.75	3159	2279800	1
2020.06.03	10:15:00	50.75	50.79	50.48	50.49	5112	2025000	1
2020.06.03	10:30:00	50.50	50.84	50.31	50.31	3730	1709400	1
2020.06.03	10:45:00	50.31	50.34	49.96	50.09	4889	2083400	1
