<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.08.01	6.82	6.98	6.78	6.87	8996	3258400	1
2017.08.02	6.88	7.06	6.88	7.01	6272	3858000	1
2017.08.03	7.02	7.06	6.82	6.88	7206	2883400	1
2017.08.04	6.91	6.94	6.85	6.87	4398	1862600	1
2017.08.07	6.87	7.10	6.87	7.02	5443	2084800	1
2017.08.08	6.97	7.03	6.90	6.93	6422	2609200	1
2017.08.09	6.92	6.92	6.79	6.87	7308	2782000	1
2017.08.10	6.87	6.94	6.81	6.90	5841	3349200	1
2017.08.11	6.95	6.95	6.83	6.91	5347	2026600	1
2017.08.14	6.88	7.05	6.87	6.94	7018	2840800	1
2017.08.15	7.01	7.15	6.98	7.04	5978	2666200	1
2017.08.16	7.10	7.35	7.06	7.31	9577	5092400	1
2017.08.17	7.31	7.31	7.17	7.22	5420	3872200	1
2017.08.18	7.25	7.37	7.13	7.29	5422	2382800	1
2017.08.21	7.31	7.38	7.22	7.30	3019	1266800	1
2017.08.22	7.39	7.57	7.36	7.48	6267	2884800	1
2017.08.23	7.50	7.55	7.36	7.48	4625	1969600	1
2017.08.24	7.42	7.50	7.38	7.41	6178	3901400	1
2017.08.25	7.40	7.46	7.33	7.36	2823	1180400	1
2017.08.28	7.41	7.44	7.31	7.38	2282	1317400	1
2017.08.29	7.35	7.37	7.28	7.29	3964	2059000	1
2017.08.30	7.30	7.45	7.23	7.40	5056	2159200	1
2017.08.31	7.40	7.50	7.31	7.34	5145	3114200	1
2017.09.01	7.39	7.53	7.35	7.46	6828	2552800	1
2017.09.04	7.50	7.69	7.44	7.58	4797	2046400	1
2017.09.05	7.76	7.95	7.67	7.77	8923	3566400	1
2017.09.06	7.79	7.84	7.68	7.69	11599	5758600	1
2017.09.08	7.65	7.68	7.54	7.58	9497	5394400	1
2017.09.11	7.64	7.85	7.63	7.74	7500	5199400	1
2017.09.12	7.78	7.81	7.67	7.73	4613	2214400	1
2017.09.13	7.69	7.91	7.67	7.84	6974	3301800	1
2017.09.14	7.84	8.10	7.82	8.02	6405	3217200	1
2017.09.15	8.03	8.30	7.97	8.21	10728	7217400	1
2017.09.18	8.24	8.51	8.13	8.48	6334	3243800	1
2017.09.19	8.49	8.52	8.32	8.42	6484	3114600	1
2017.09.20	8.37	8.54	8.13	8.13	9892	5363800	1
2017.09.21	8.19	8.24	8.04	8.06	7614	4335200	1
2017.09.22	8.02	8.06	7.87	7.88	8411	14285800	1
2017.09.25	7.84	7.93	7.76	7.83	5796	2738600	1
2017.09.26	7.89	7.89	7.66	7.66	5853	3486200	1
2017.09.27	7.72	7.79	7.58	7.58	5406	2577600	1
2017.09.28	7.57	7.69	7.54	7.57	6935	2716200	1
2017.09.29	7.65	7.79	7.56	7.68	5573	3217400	1
2017.10.02	7.73	7.85	7.63	7.65	4787	1807200	1
2017.10.03	7.70	8.00	7.64	7.95	8524	3341400	1
2017.10.04	7.99	8.14	7.98	7.99	7825	3047600	1
2017.10.05	8.08	8.29	8.01	8.02	11825	7913800	1
2017.10.06	7.95	8.00	7.83	7.98	9014	4455400	1
2017.10.09	8.00	8.03	7.92	7.98	6299	3717200	1
2017.10.10	8.09	8.12	8.00	8.08	6353	2346400	1
2017.10.11	8.09	8.18	8.01	8.18	7894	3065600	1
2017.10.13	8.19	8.33	8.13	8.26	7674	4710600	1
2017.10.16	8.33	8.37	8.09	8.18	8542	3267800	1
2017.10.17	8.14	8.28	8.09	8.11	9301	3703400	1
2017.10.18	8.15	8.26	8.09	8.12	11508	3637200	1
2017.10.19	8.09	8.11	7.88	7.96	9498	5220200	1
2017.10.20	8.01	8.25	8.01	8.06	6564	3326000	1
2017.10.23	8.23	8.23	7.70	7.78	7663	3833200	1
2017.10.24	7.88	8.09	7.88	8.02	7804	3354200	1
2017.10.25	8.12	8.21	7.78	8.00	7529	3657800	1
2017.10.26	8.04	8.07	7.68	7.75	9254	4460200	1
2017.10.27	7.77	7.87	7.72	7.77	8261	2673600	1
2017.10.30	7.76	7.77	7.44	7.57	12173	4616000	1
2017.10.31	7.60	7.77	7.49	7.65	9810	3562800	1
2017.11.01	7.74	7.90	7.62	7.62	9403	3539600	1
2017.11.03	7.64	7.82	7.49	7.72	13528	4986600	1
2017.11.06	7.70	7.88	7.68	7.81	7702	2739000	1
2017.11.07	7.79	7.85	7.55	7.60	11630	4324600	1
2017.11.08	7.60	7.92	7.60	7.82	8296	3557800	1
2017.11.09	7.84	7.94	7.68	7.80	6990	3921200	1
2017.11.10	7.73	7.87	7.69	7.79	8683	3628000	1
2017.11.13	7.79	7.82	7.58	7.66	8612	4546400	1
2017.11.14	7.68	7.73	7.51	7.54	8676	5083600	1
2017.11.16	7.52	7.91	7.52	7.82	7768	4487400	1
2017.11.17	7.82	8.14	7.79	8.03	5962	3626000	1
2017.11.21	8.10	8.41	8.09	8.33	11265	5591400	1
2017.11.22	8.33	8.48	8.19	8.45	9951	5055400	1
2017.11.23	8.45	8.45	8.26	8.38	2772	1094600	1
2017.11.24	8.42	8.43	8.26	8.27	4104	1609000	1
2017.11.27	8.23	8.29	8.14	8.24	7811	3247600	1
2017.11.28	8.26	8.43	8.20	8.20	5951	2654800	1
2017.11.29	8.22	8.36	8.10	8.20	10343	4423000	1
2017.11.30	8.26	8.32	8.17	8.23	15584	7515600	1
2017.12.01	8.19	8.30	8.08	8.15	8546	4015200	1
2017.12.04	8.17	8.45	8.14	8.33	7714	3648200	1
2017.12.05	8.35	8.66	8.25	8.56	9275	4647400	1
2017.12.06	8.54	8.73	8.46	8.58	10082	3874200	1
2017.12.07	8.46	8.54	8.23	8.29	6827	3220000	1
2017.12.08	8.40	8.49	8.28	8.33	6144	2752000	1
2017.12.11	8.33	8.44	8.25	8.32	4587	1968800	1
2017.12.12	8.27	8.44	8.02	8.44	7270	3578000	1
2017.12.13	8.49	8.82	8.39	8.53	14718	6784200	1
2017.12.14	8.54	8.56	8.28	8.32	6857	3931200	1
2017.12.15	8.28	8.50	8.28	8.49	5624	9527000	1
2017.12.18	8.51	8.56	8.41	8.46	5892	3323200	1
2017.12.19	8.46	8.53	8.25	8.32	4597	1703400	1
2017.12.20	8.37	8.44	8.34	8.40	4583	4086200	1
2017.12.21	8.39	8.85	8.32	8.72	9352	4590600	1
2017.12.22	8.69	8.82	8.65	8.75	4389	1558400	1
2017.12.26	8.69	8.96	8.69	8.90	4634	1835600	1
2017.12.27	8.95	9.02	8.86	8.90	2992	1199200	1
2017.12.28	8.93	8.99	8.69	8.69	4671	4332000	1
2018.01.02	8.78	9.07	8.78	9.02	9646	3702200	1
2018.01.03	8.98	8.99	8.86	8.88	9054	3579200	1
2018.01.04	8.93	8.98	8.80	8.80	7266	2540200	1
2018.01.05	8.87	8.89	8.76	8.83	6163	1963600	1
2018.01.08	8.84	8.96	8.67	8.90	7808	2574000	1
2018.01.09	8.90	9.05	8.84	9.05	8571	4761800	1
2018.01.10	8.99	9.00	8.89	8.98	4615	2846000	1
2018.01.11	9.04	9.19	8.96	9.15	7684	3152800	1
2018.01.12	9.10	9.29	9.08	9.22	6328	3427800	1
2018.01.15	9.23	9.31	9.19	9.28	1982	774200	1
2018.01.16	9.27	9.47	9.25	9.39	6722	3646600	1
2018.01.17	9.41	9.46	9.31	9.34	6896	2379200	1
2018.01.18	9.33	9.42	9.15	9.21	6987	2996000	1
2018.01.19	9.22	9.36	9.18	9.33	3669	2124000	1
2018.01.22	9.36	9.44	9.18	9.23	3887	1756800	1
2018.01.23	9.22	9.27	8.92	8.94	9162	3635800	1
2018.01.24	9.09	9.18	8.87	8.98	13498	6080600	1
2018.01.26	9.01	9.09	8.94	9.02	13204	5048800	1
2018.01.29	8.98	8.98	8.62	8.73	13427	9389800	1
2018.01.30	8.65	8.76	8.60	8.65	6079	3624400	1
2018.01.31	8.65	8.76	8.47	8.54	10820	7267800	1
2018.02.01	8.56	8.62	8.47	8.47	10264	4449400	1
2018.02.02	8.36	8.39	8.16	8.20	11274	5712200	1
2018.02.05	8.18	8.29	8.08	8.11	7988	4111800	1
2018.02.06	8.06	8.45	7.97	8.36	17970	7286000	1
2018.02.07	8.41	8.50	8.22	8.25	9217	4517200	1
2018.02.08	8.30	8.36	7.98	8.01	8032	3838000	1
2018.02.09	8.01	8.10	7.74	7.90	13706	5201400	1
2018.02.14	8.10	8.36	8.05	8.25	10919	5592200	1
2018.02.15	8.34	8.54	8.25	8.44	9789	4174600	1
2018.02.16	8.44	8.46	8.15	8.24	8773	4674800	1
2018.02.19	8.32	8.32	8.19	8.28	2815	1031400	1
2018.02.20	8.22	8.40	8.20	8.27	8451	2913400	1
2018.02.21	8.27	8.40	8.23	8.23	8927	4964400	1
2018.02.22	8.32	8.46	8.25	8.29	7200	3758400	1
2018.02.23	8.34	8.64	8.30	8.60	11341	5254000	1
2018.02.26	8.74	8.87	8.62	8.71	11254	5262400	1
2018.02.27	8.69	8.77	8.54	8.58	8091	3714400	1
2018.02.28	8.60	8.60	8.34	8.44	11598	7722400	1
2018.03.01	8.35	8.54	8.23	8.39	12338	6520600	1
2018.03.02	8.37	8.39	8.20	8.34	7170	3393800	1
2018.03.05	8.37	8.37	8.16	8.23	6662	3180600	1
2018.03.06	8.28	8.32	8.20	8.22	8315	3073400	1
2018.03.07	8.21	8.24	8.04	8.16	8715	4534400	1
2018.03.08	8.18	8.29	8.05	8.12	5168	2432600	1
2018.03.09	8.12	8.38	8.12	8.32	7327	2779400	1
2018.03.12	8.36	8.45	8.28	8.28	3993	1995200	1
2018.03.13	8.31	8.40	8.10	8.21	8451	3652400	1
2018.03.14	8.23	8.36	8.21	8.34	3456	1794600	1
2018.03.15	8.34	8.43	8.28	8.36	6028	3882800	1
2018.03.16	8.41	8.52	8.32	8.39	5772	5414800	1
2018.03.19	8.37	8.49	8.28	8.40	7530	2611600	1
2018.03.20	8.46	8.47	8.33	8.33	6103	2776000	1
2018.03.21	8.37	8.45	8.32	8.37	4880	2393400	1
2018.03.22	8.41	8.50	8.29	8.39	8954	3133600	1
2018.03.23	8.28	8.52	8.25	8.32	6908	2681200	1
2018.03.26	8.42	8.42	8.16	8.19	5279	2716600	1
2018.03.27	8.24	8.24	7.89	8.05	11799	5399000	1
2018.03.28	8.01	8.22	7.98	8.12	8414	3509800	1
2018.03.29	8.12	8.23	8.04	8.19	9716	3535600	1
2018.04.02	8.22	8.22	8.03	8.09	7031	2759400	1
2018.04.03	8.14	8.15	8.00	8.09	4416	2269000	1
2018.04.04	7.95	8.20	7.92	8.09	8999	3628200	1
2018.04.05	8.26	8.26	7.99	8.06	6006	3022000	1
2018.04.06	8.04	8.10	7.85	7.89	8592	4128200	1
2018.04.09	7.92	7.96	7.71	7.72	7314	3090000	1
2018.04.10	7.78	7.86	7.72	7.79	7158	2997200	1
2018.04.11	7.74	7.96	7.74	7.83	6199	2728400	1
2018.04.12	7.92	7.94	7.74	7.92	7765	3305000	1
2018.04.13	7.88	8.04	7.80	7.99	7891	3945200	1
2018.04.16	7.94	8.11	7.90	8.03	6147	2647600	1
2018.04.17	7.96	8.13	7.94	8.06	5072	1817600	1
2018.04.18	7.98	8.15	7.89	8.04	11431	5224200	1
2018.04.19	8.01	8.19	7.95	8.13	6780	3324800	1
2018.04.20	8.08	8.37	8.08	8.30	5857	3218200	1
2018.04.23	8.34	8.40	8.22	8.27	5799	2572200	1
2018.04.24	8.30	8.41	8.18	8.23	5595	2487400	1
2018.04.25	8.24	8.33	8.01	8.06	11337	6369200	1
2018.04.26	8.16	8.47	8.13	8.44	10689	7487000	1
2018.04.27	8.50	8.54	8.35	8.45	8027	3494000	1
2018.04.30	8.46	8.46	8.30	8.38	7373	3153000	1
2018.05.02	8.38	8.66	8.18	8.49	14084	6969400	1
2018.05.03	8.44	8.49	8.29	8.29	9626	4572200	1
2018.05.04	8.26	8.30	8.10	8.10	5116	3185200	1
2018.05.07	8.15	8.22	7.93	7.97	6227	3609200	1
2018.05.08	8.03	8.07	7.75	7.94	13304	9624600	1
2018.05.09	8.00	8.09	7.81	7.98	12111	5957600	1
2018.05.10	8.01	8.38	8.00	8.36	11582	5675600	1
2018.05.11	8.28	8.53	8.25	8.38	6061	3118600	1
2018.05.14	8.38	8.61	8.31	8.43	10571	4693000	1
2018.05.15	8.34	8.86	8.34	8.76	15527	7279800	1
2018.05.16	8.67	9.04	8.65	8.99	7284	3826400	1
2018.05.17	8.98	8.98	8.69	8.81	14552	6030000	1
2018.05.18	8.68	8.80	8.52	8.62	14958	7022000	1
2018.05.21	8.67	8.82	8.43	8.45	11537	6008200	1
2018.05.22	8.54	8.70	8.43	8.50	12665	5747400	1
2018.05.23	8.50	8.63	8.46	8.49	9365	5216400	1
2018.05.24	8.59	8.88	8.50	8.87	10394	7028200	1
2018.05.25	8.83	9.15	8.72	8.81	10941	6307800	1
2018.05.28	8.69	8.87	8.31	8.33	12944	5361800	1
2018.05.29	8.41	8.66	8.18	8.18	22632	13521600	1
2018.05.30	8.23	8.35	8.05	8.09	23779	26833800	1
2018.06.01	8.23	8.48	7.91	8.03	14682	7877400	1
2018.06.04	8.11	8.17	7.89	7.92	14332	7250000	1
2018.06.05	7.96	8.01	7.67	7.73	16622	8062600	1
2018.06.06	7.68	8.02	7.66	8.01	14832	13832200	1
2018.06.07	8.01	8.13	7.48	7.74	19319	8997600	1
2018.06.08	7.81	7.89	7.49	7.77	17024	8322200	1
2018.06.11	7.80	7.83	7.52	7.57	9688	4762800	1
2018.06.12	7.60	7.67	7.46	7.49	8798	5039800	1
2018.06.13	7.52	7.58	7.28	7.35	14812	7064200	1
2018.06.14	7.28	7.40	7.12	7.19	17414	7796800	1
2018.06.15	7.14	7.44	7.12	7.44	19424	14751800	1
2018.06.18	7.35	7.39	7.19	7.19	12564	5527200	1
2018.06.19	7.19	7.38	7.10	7.17	14099	6967200	1
2018.06.20	7.27	7.27	7.13	7.26	10003	5894200	1
2018.06.21	7.26	7.36	7.19	7.29	10726	6334000	1
2018.06.22	7.31	7.35	7.22	7.27	9947	5908000	1
2018.06.25	7.30	7.56	7.30	7.45	10754	4855400	1
2018.06.26	7.55	7.56	7.36	7.52	8295	4008200	1
2018.06.27	7.53	7.55	7.31	7.41	9495	4976400	1
