<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	10:00:00	20.32	20.57	20.32	20.45	700	352800	1
2020.06.01	10:15:00	20.43	20.49	20.31	20.35	1072	634200	1
2020.06.01	10:30:00	20.36	20.56	20.29	20.35	1106	759000	1
2020.06.01	10:45:00	20.35	20.48	20.29	20.46	1013	460400	1
2020.06.01	11:00:00	20.48	20.67	20.44	20.63	1195	550600	1
2020.06.01	11:15:00	20.62	20.65	20.53	20.56	703	285000	1
2020.06.01	11:30:00	20.56	20.74	20.52	20.71	1056	459800	1
2020.06.01	11:45:00	20.70	20.86	20.68	20.85	1051	503600	1
2020.06.01	12:00:00	20.86	20.86	20.70	20.80	688	365200	1
2020.06.01	12:15:00	20.80	20.81	20.68	20.76	618	353400	1
2020.06.01	12:30:00	20.76	20.84	20.70	20.76	508	345600	1
2020.06.01	12:45:00	20.77	20.84	20.72	20.83	568	303600	1
2020.06.01	13:00:00	20.82	20.85	20.73	20.75	418	228000	1
2020.06.01	13:15:00	20.73	20.75	20.64	20.68	584	266800	1
2020.06.01	13:30:00	20.68	20.71	20.60	20.60	549	244000	1
2020.06.01	13:45:00	20.60	20.65	20.55	20.61	524	241600	1
2020.06.01	14:00:00	20.62	20.67	20.59	20.66	342	178400	1
2020.06.01	14:15:00	20.66	20.71	20.63	20.63	448	245000	1
2020.06.01	14:30:00	20.64	20.65	20.56	20.57	509	280800	1
2020.06.01	14:45:00	20.57	20.58	20.44	20.50	702	347800	1
2020.06.01	15:00:00	20.50	20.58	20.44	20.50	707	367000	1
2020.06.01	15:15:00	20.50	20.56	20.45	20.50	632	364400	1
2020.06.01	15:30:00	20.51	20.58	20.46	20.58	598	370200	1
2020.06.01	15:45:00	20.58	20.63	20.55	20.60	693	306400	1
2020.06.01	16:00:00	20.60	20.62	20.56	20.62	677	305400	1
2020.06.01	16:15:00	20.61	20.61	20.50	20.53	724	351400	1
2020.06.01	16:30:00	20.53	20.60	20.50	20.50	880	395600	1
2020.06.01	16:45:00	20.50	20.52	20.46	20.46	635	1157200	1
2020.06.02	10:00:00	20.58	20.65	20.40	20.49	954	507000	1
2020.06.02	10:15:00	20.51	20.51	20.29	20.40	948	493200	1
2020.06.02	10:30:00	20.42	20.50	20.32	20.48	783	334200	1
2020.06.02	10:45:00	20.49	20.57	20.44	20.55	550	198200	1
2020.06.02	11:00:00	20.55	20.65	20.54	20.60	553	226800	1
2020.06.02	11:15:00	20.60	20.70	20.56	20.62	601	279200	1
2020.06.02	11:30:00	20.63	20.68	20.61	20.63	476	200200	1
2020.06.02	11:45:00	20.63	20.76	20.58	20.72	658	264200	1
2020.06.02	12:00:00	20.73	20.77	20.59	20.59	607	217600	1
2020.06.02	12:15:00	20.59	20.62	20.52	20.57	490	183800	1
2020.06.02	12:30:00	20.57	20.57	20.48	20.51	476	180800	1
