Analisando PETR4
      Feature  Importance
0        open   90.463002
4   EMA_close    2.641527
16  d-1_close    2.165431
14   d-1_high    1.675610
3     EMA_low    1.349002
2    EMA_high    0.405688
15    d-1_low    0.332038
13   d-1_open    0.181129
1    EMA_open    0.174602
19    d-2_low    0.158771
10     LB_low    0.059565
8     LB_high    0.050747
17   d-2_open    0.049616
12   LB_close    0.049283
6     LB_open    0.033159
23    d-3_low    0.022700
7     UB_high    0.019956
11   UB_close    0.018219
5     UB_open    0.015980
9      UB_low    0.015903
21   d-3_open    0.012523
26   d-4_high    0.011849
22   d-3_high    0.011211
20  d-2_close    0.010634
18   d-2_high    0.009457
29   d-5_open    0.009099
24  d-3_close    0.008829
25   d-4_open    0.008189
31    d-5_low    0.007428
30   d-5_high    0.007404
28  d-4_close    0.007389
32  d-5_close    0.007039
27    d-4_low    0.007020
Analisando VALE3
      Feature  Importance
0        open   93.807711
4   EMA_close    1.790177
3     EMA_low    1.310382
16  d-1_close    0.814832
15    d-1_low    0.249742
22   d-3_high    0.201715
17   d-2_open    0.157272
5     UB_open    0.133867
21   d-3_open    0.117098
7     UB_high    0.115709
1    EMA_open    0.115385
11   UB_close    0.114763
18   d-2_high    0.101459
28  d-4_close    0.097814
14   d-1_high    0.085077
9      UB_low    0.084856
24  d-3_close    0.084583
13   d-1_open    0.084320
25   d-4_open    0.083472
2    EMA_high    0.080600
26   d-4_high    0.052660
6     LB_open    0.042836
27    d-4_low    0.039952
29   d-5_open    0.034222
20  d-2_close    0.033253
12   LB_close    0.031935
8     LB_high    0.026225
10     LB_low    0.021866
19    d-2_low    0.021727
32  d-5_close    0.020172
30   d-5_high    0.017332
23    d-3_low    0.014263
31    d-5_low    0.012725
Analisando WEGE3
      Feature  Importance
0        open   52.123614
20  d-2_close    6.188700
25   d-4_open    4.413524
16  d-1_close    2.966914
14   d-1_high    2.719378
28  d-4_close    2.665683
32  d-5_close    2.274649
21   d-3_open    2.183593
3     EMA_low    2.144235
22   d-3_high    1.873468
2    EMA_high    1.718636
26   d-4_high    1.640732
17   d-2_open    1.546712
19    d-2_low    1.457446
24  d-3_close    1.334312
13   d-1_open    1.300094
4   EMA_close    1.275859
15    d-1_low    1.240332
27    d-4_low    1.189131
30   d-5_high    1.174408
18   d-2_high    1.054315
29   d-5_open    1.034930
31    d-5_low    0.860168
7     UB_high    0.818360
5     UB_open    0.572112
1    EMA_open    0.557300
23    d-3_low    0.436123
11   UB_close    0.348044
6     LB_open    0.272264
8     LB_high    0.265650
9      UB_low    0.165013
10     LB_low    0.121640
12   LB_close    0.062661
Analisando BBDC4
      Feature  Importance
0        open   45.166376
4   EMA_close   23.733295
16  d-1_close    6.832272
3     EMA_low    5.814260
2    EMA_high    4.392682
1    EMA_open    3.128266
13   d-1_open    2.810362
14   d-1_high    2.351410
15    d-1_low    1.631223
10     LB_low    0.698508
6     LB_open    0.684935
12   LB_close    0.516694
19    d-2_low    0.342467
20  d-2_close    0.341590
24  d-3_close    0.341277
18   d-2_high    0.340999
8     LB_high    0.204564
30   d-5_high    0.175648
17   d-2_open    0.174716
22   d-3_high    0.172930
5     UB_open    0.015284
29   d-5_open    0.014080
7     UB_high    0.013619
9      UB_low    0.013268
31    d-5_low    0.012134
11   UB_close    0.011891
21   d-3_open    0.010625
27    d-4_low    0.010405
28  d-4_close    0.010231
32  d-5_close    0.009385
26   d-4_high    0.008477
25   d-4_open    0.008298
23    d-3_low    0.007827
Analisando ITUB4
      Feature  Importance
0        open   90.624468
4   EMA_close    4.553511
16  d-1_close    2.069287
2    EMA_high    0.532734
14   d-1_high    0.531821
15    d-1_low    0.425501
3     EMA_low    0.298438
6     LB_open    0.193170
11   UB_close    0.191013
8     LB_high    0.187111
10     LB_low    0.035027
20  d-2_close    0.030527
7     UB_high    0.028418
5     UB_open    0.028215
12   LB_close    0.028098
9      UB_low    0.026267
29   d-5_open    0.018098
13   d-1_open    0.015961
24  d-3_close    0.014129
18   d-2_high    0.013762
21   d-3_open    0.013755
22   d-3_high    0.013698
32  d-5_close    0.013683
19    d-2_low    0.013373
30   d-5_high    0.012822
17   d-2_open    0.012059
27    d-4_low    0.011380
1    EMA_open    0.011219
31    d-5_low    0.011126
26   d-4_high    0.011052
28  d-4_close    0.010622
25   d-4_open    0.010347
23    d-3_low    0.009307
